"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"15:00","yes",1,10,"-NYG 25","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"14:26","no",1,10,"-NYG 37","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"14:21","yes",2,10,"-NYG 37","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"13:39","yes",3,3,"-NYG 44","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"13:07","yes",1,10,"-JAX 42","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"12:24","yes",2,9,"-JAX 41","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"11:54","yes",3,5,"-JAX 37","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"11:12","yes",1,10,"-JAX 28","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"10:29","yes",2,14,"-JAX 32","pass","NYG"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"10:16","no",1,10,"-JAX 30","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"9:42","no",1,10,"-JAX 43","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"9:04","no",2,9,"-JAX 44","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"8:28","yes",1,10,"-NYG 42","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"7:46","no",1,10,"-NYG 31","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"7:02","yes",1,7,"-NYG 7","run","JAX"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"6:58","no",1,10,"-NYG 25","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"6:38","yes",1,10,"-NYG 32","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"5:58","yes",2,8,"-NYG 34","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"5:50","yes",3,3,"-NYG 39","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"5:24","yes",1,10,"-NYG 49","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"5:20","yes",1,20,"-NYG 39","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"5:13","yes",2,20,"-NYG 39","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",1,"4:26","yes",3,14,"-NYG 45","pass","NYG"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"4:07","yes",1,10,"-JAX 21","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"3:33","yes",1,10,"-JAX 36","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"2:58","yes",1,10,"-NYG 36","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"2:35","yes",2,3,"-NYG 29","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"1:56","yes",3,2,"-NYG 28","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",1,"1:20","yes",4,1,"-NYG 27","pass","JAX"
"giants_at_jaguars_2022_reg_7","New York Giants",1,":36","yes",1,10,"-NYG 25","pass","NYG"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"15:00","yes",2,5,"-NYG 20","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:13","yes",1,10,"-NYG 14","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:08","yes",2,10,"-NYG 14","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:03","yes",3,10,"-NYG 14","pass","JAX"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"12:56","yes",2,5,"-NYG 30","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"12:18","no",1,10,"-NYG 47","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"11:39","no",2,8,"-NYG 49","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"10:57","yes",1,10,"-JAX 37","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"10:18","yes",2,8,"-JAX 35","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"9:40","yes",1,10,"-JAX 23","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"9:01","yes",2,13,"-JAX 26","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"8:58","yes",2,22,"-JAX 35","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"8:12","yes",3,13,"-JAX 26","pass","NYG"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"7:22","no",1,10,"-JAX 19","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"6:46","yes",1,10,"-JAX 32","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"6:10","yes",1,15,"-JAX 27","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"6:07","yes",2,15,"-JAX 27","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"4:54","yes",1,10,"-JAX 49","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"4:16","no",1,25,"-JAX 34","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"4:10","yes",2,25,"-JAX 34","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"3:42","no",1,10,"-NYG 17","pass","JAX"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"3:26","yes",1,10,"-NYG 20","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"2:53","yes",2,8,"-NYG 22","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"2:17","yes",1,10,"-NYG 32","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"2:00","yes",2,8,"-NYG 34","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"1:34","yes",1,10,"-JAX 47","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"1:00","yes",1,10,"-JAX 32","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,":56","yes",2,10,"-JAX 32","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,":50","yes",2,10,"-JAX 21","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,":41","yes",3,4,"-JAX 15","pass","NYG"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,":28","yes",1,10,"-JAX 25","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,":23","yes",1,10,"-JAX 43","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:55","yes",1,10,"-JAX 27","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:12","yes",1,10,"-NYG 24","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"14:09","yes",2,10,"-NYG 24","pass","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"13:50","yes",1,10,"-NYG 11","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"13:15","no",2,2,"-NYG 3","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"12:32","no",3,1,"-NYG 2","run","JAX"
"giants_at_jaguars_2022_reg_7","Jacksonville Jaguars",2,"11:47","no",1,1,"-NYG 1","run","JAX"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"11:45","no",1,10,"-NYG 25","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"11:15","yes",2,4,"-NYG 31","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"10:46","no",1,10,"-NYG 45","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"10:07","yes",1,10,"-JAX 45","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"9:36","yes",2,5,"-JAX 40","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"9:11","yes",3,2,"-JAX 37","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"8:31","no",1,10,"-JAX 26","pass","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"7:54","no",1,10,"-JAX 11","run","NYG"
"giants_at_jaguars_2022_reg_7","New York Giants",2,"7:11","no",2,2,"-JAX 3","run","NYG"
