"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"14:55","no",1,10,"-GB 24","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"14:20","yes",2,8,"-GB 26","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"14:16","yes",3,8,"-GB 26","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"13:31","no",1,10,"-NYG 39","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"12:48","yes",2,3,"-NYG 32","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"12:07","yes",1,10,"-NYG 27","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"12:00","no",2,10,"-NYG 27","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"11:13","yes",3,5,"-NYG 22","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",1,"11:00","no",1,10,"-NYG 24","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"10:23","no",2,5,"-NYG 29","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"9:40","yes",3,4,"-NYG 30","pass","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"9:28","no",1,10,"-GB 28","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"8:45","yes",2,13,"-GB 25","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"8:00","yes",3,10,"-GB 28","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",1,"7:13","no",1,10,"-NYG 23","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"6:32","yes",2,8,"-NYG 25","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"6:26","yes",3,13,"-NYG 20","pass","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"5:34","yes",1,10,"-GB 40","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"5:00","no",2,6,"-GB 44","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"4:17","no",1,10,"-NYG 34","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"3:33","yes",2,13,"-NYG 37","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"3:26","yes",1,4,"-NYG 4","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,"3:22","yes",2,4,"-NYG 4","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",1,"3:14","no",1,10,"-NYG 24","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"2:04","no",2,5,"-GB 45","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,"1:25","no",1,10,"-GB 34","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,":56","yes",1,19,"-GB 43","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",1,":52","yes",3,7,"-GB 31","pass","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",1,":09","yes",1,10,"-GB 25","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"15:00","yes",2,7,"-GB 28","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"14:28","no",1,10,"-GB 36","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"13:41","yes",2,8,"-GB 38","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"12:18","yes",2,3,"-NYG 43","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"11:38","yes",1,10,"-NYG 39","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"10:55","yes",2,5,"-NYG 34","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"10:12","yes",1,10,"-NYG 25","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"9:26","yes",2,5,"-NYG 20","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"8:39","yes",3,4,"-NYG 19","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"7:29","no",2,1,"-NYG 2","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",2,"7:01","no",1,10,"-NYG 19","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"6:03","no",1,10,"-GB 38","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"4:45","yes",2,14,"-GB 32","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"4:08","yes",3,13,"-GB 31","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"3:28","yes",1,10,"-GB 16","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"2:48","yes",2,9,"-GB 15","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"2:45","yes",3,9,"-GB 15","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"2:00","yes",1,5,"-GB 5","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"1:22","yes",2,2,"-GB 2","run","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"1:15","yes",1,10,"-GB 25","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":51","yes",1,10,"-GB 36","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":46","yes",2,1,"-GB 45","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":43","yes",1,10,"-NYG 49","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":38","yes",1,10,"-NYG 29","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":34","yes",2,10,"-NYG 29","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,":31","yes",3,10,"-NYG 29","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",2,"14:34","no",1,10,"-NYG 30","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"14:00","no",2,5,"-NYG 35","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"13:18","yes",3,3,"-NYG 37","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"12:39","no",1,10,"-GB 49","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"11:58","no",1,10,"-GB 36","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"11:23","no",2,5,"-GB 31","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"10:48","yes",3,4,"-GB 30","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"10:20","yes",1,10,"-GB 24","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"9:36","yes",2,10,"-GB 24","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"8:35","yes",3,8,"-GB 22","run","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"7:50","no",1,10,"-GB 12","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"7:04","yes",1,10,"-GB 29","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"6:19","no",2,7,"-GB 32","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"6:12","yes",1,10,"-GB 37","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"4:58","no",1,10,"-NYG 38","run","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",2,"4:15","no",2,8,"-NYG 36","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",2,"3:15","yes",1,10,"-NYG 9","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"2:39","no",2,11,"-NYG 8","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"2:11","no",1,10,"-NYG 21","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"1:45","no",1,10,"-NYG 40","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,"1:02","yes",2,11,"-NYG 39","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",2,":26","yes",3,4,"-NYG 46","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"15:00","yes",1,10,"-GB 43","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"14:25","no",2,7,"-GB 40","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"13:37","no",1,10,"-GB 32","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"12:57","yes",2,8,"-GB 30","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"12:15","yes",1,10,"-GB 14","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"11:32","no",2,7,"-GB 11","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"10:46","no",3,3,"-GB 7","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"10:20","no",1,2,"-GB 2","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"10:14","no",2,2,"-GB 2","run","NYG"
"giants_at_packers_2022_reg_5","Green Bay Packers",3,"10:08","yes",1,10,"-GB 25","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",3,"10:03","no",2,10,"-GB 25","pass","GB"
"giants_at_packers_2022_reg_5","Green Bay Packers",3,"9:59","yes",3,10,"-GB 25","pass","GB"
"giants_at_packers_2022_reg_5","New York Giants",3,"9:42","yes",1,10,"-NYG 40","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"9:13","yes",2,10,"-NYG 40","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"8:32","no",1,10,"-GB 19","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"7:53","yes",1,9,"-GB 9","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"7:09","yes",2,5,"-GB 5","run","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"6:40","yes",2,10,"-GB 10","pass","NYG"
"giants_at_packers_2022_reg_5","New York Giants",3,"6:12","yes",1,2,"-GB 2","run","NYG"
