"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"14:53","yes",1,10,"-SEA 29","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"14:22","yes",2,7,"-SEA 32","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"13:47","yes",3,1,"-SEA 38","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"13:08","yes",1,10,"-SEA 42","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"13:02","yes",2,10,"-SEA 42","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"12:58","yes",3,10,"-SEA 42","pass","SEA"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"12:41","yes",1,10,"-NYG 28","pass","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"12:17","no",2,4,"-NYG 34","pass","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"12:10","yes",3,4,"-NYG 34","pass","NYG"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"11:17","no",1,10,"-SEA 14","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"10:41","no",2,7,"-SEA 17","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"10:02","no",1,10,"-SEA 26","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"9:44","yes",2,9,"-SEA 27","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"8:57","yes",3,8,"-SEA 28","pass","SEA"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"8:37","yes",1,10,"-NYG 20","pass","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"6:59","yes",3,9,"-NYG 21","pass","NYG"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"6:05","no",1,10,"-SEA 41","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"5:36","no",1,10,"-NYG 46","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"4:53","yes",2,7,"-NYG 43","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"4:13","yes",3,5,"-NYG 41","pass","SEA"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"4:00","yes",1,10,"-NYG 20","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"3:23","yes",2,7,"-NYG 23","pass","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",1,"3:18","yes",3,7,"-NYG 23","pass","NYG"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"3:02","no",1,10,"-SEA 31","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"2:33","yes",1,10,"-SEA 47","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,"1:18","yes",3,14,"-SEA 43","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,":45","yes",1,10,"-NYG 42","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,":38","yes",2,10,"-NYG 42","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",1,":28","no",1,10,"-NYG 27","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"15:00","yes",2,8,"-NYG 25","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"14:23","no",3,1,"-NYG 18","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"14:17","yes",4,1,"-NYG 18","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"13:50","yes",1,10,"-NYG 14","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"13:29","yes",2,8,"-NYG 12","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"13:23","yes",3,8,"-NYG 12","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"12:42","yes",4,2,"-NYG 6","pass","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"12:41","no",1,3,"-NYG 3","run","SEA"
"giants_at_seahawks_2022_reg_8","Seattle Seahawks",2,"12:12","yes",2,3,"-NYG 3","pass","SEA"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"12:07","no",1,10,"-NYG 25","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"11:22","yes",2,1,"-NYG 34","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"10:45","yes",1,10,"-NYG 38","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"10:05","yes",2,10,"-NYG 38","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"9:24","yes",3,5,"-NYG 43","pass","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"8:20","no",1,15,"-NYG 43","run","NYG"
"giants_at_seahawks_2022_reg_8","New York Giants",2,"7:38","yes",2,9,"-NYG 49","run","NYG"
