"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_titans_2022_reg_1","New York Giants",1,"14:55","yes",1,10,"-NYG 22","run","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"14:17","yes",2,9,"-NYG 23","run","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"13:31","no",3,3,"-NYG 29","run","NYG"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"12:48","no",1,10,"-NYG 45","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"12:06","no",2,10,"-NYG 45","pass","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"11:25","no",1,10,"-NYG 32","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"10:42","yes",2,5,"-NYG 27","pass","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"9:52","yes",1,7,"-NYG 7","pass","TEN"
"giants_at_titans_2022_reg_1","New York Giants",1,"9:48","no",1,10,"-NYG 25","pass","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"9:44","yes",2,10,"-NYG 25","pass","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"9:10","yes",3,4,"-NYG 31","pass","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"8:30","yes",1,10,"-NYG 36","run","NYG"
"giants_at_titans_2022_reg_1","New York Giants",1,"6:57","yes",3,19,"-NYG 27","pass","NYG"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"6:10","no",1,10,"-TEN 18","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"5:34","no",2,5,"-TEN 23","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"4:48","yes",3,5,"-TEN 23","pass","TEN"
"giants_at_titans_2022_reg_1","New York Giants",1,"3:02","yes",3,20,"-NYG 30","pass","NYG"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"2:09","no",1,10,"-TEN 7","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,"1:23","yes",2,7,"-TEN 10","pass","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,":47","no",1,10,"-TEN 19","pass","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",1,":41","yes",2,10,"-TEN 19","run","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",2,"15:00","yes",3,3,"-TEN 26","pass","TEN"
"giants_at_titans_2022_reg_1","Tennessee Titans",2,"14:14","no",1,10,"-NYG 43","pass","TEN"
