"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"15:00","no",1,10,"-MIN 25","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"14:24","no",2,4,"-MIN 31","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"13:45","no",1,10,"-MIN 49","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"13:06","yes",2,11,"-MIN 48","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"13:03","yes",3,11,"-MIN 48","pass","MIN"
"giants_at_vikings_2022_reg_16","New York Giants",1,"12:51","no",1,10,"-NYG 24","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"12:17","yes",2,7,"-NYG 27","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"11:50","yes",3,3,"-NYG 31","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"11:18","no",1,10,"-NYG 48","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"11:12","yes",2,10,"-NYG 48","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"11:06","yes",3,10,"-NYG 48","pass","NYG"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"10:57","yes",1,10,"-MIN 12","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"10:23","no",2,7,"-MIN 15","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"9:52","no",1,10,"-MIN 23","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"9:48","yes",2,10,"-MIN 23","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"9:06","yes",3,10,"-MIN 23","pass","MIN"
"giants_at_vikings_2022_reg_16","New York Giants",1,"8:49","no",1,10,"-NYG 33","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"8:03","yes",2,25,"-NYG 18","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"7:22","yes",3,13,"-NYG 30","pass","NYG"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"7:07","no",1,10,"-MIN 16","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"6:37","no",1,10,"-MIN 41","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"6:06","no",2,3,"-MIN 48","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"5:31","no",1,10,"-NYG 39","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"5:07","no",2,4,"-NYG 33","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"4:35","yes",1,10,"-NYG 28","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"4:06","yes",2,2,"-NYG 20","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",1,"3:23","no",1,10,"-NYG 12","pass","MIN"
"giants_at_vikings_2022_reg_16","New York Giants",1,"3:17","no",1,10,"-NYG 25","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"2:43","yes",2,11,"-NYG 24","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"2:13","yes",3,4,"-NYG 31","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,"1:31","no",1,10,"-NYG 37","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",1,":50","yes",1,10,"-MIN 49","run","NYG"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"14:50","no",1,10,"-MIN 36","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"14:11","yes",2,8,"-MIN 38","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"12:59","no",1,10,"-NYG 34","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"12:21","no",2,2,"-NYG 26","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"11:56","no",3,1,"-NYG 25","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"11:19","yes",1,10,"-NYG 23","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"10:47","yes",2,9,"-NYG 22","pass","MIN"
"giants_at_vikings_2022_reg_16","New York Giants",2,"9:34","yes",1,10,"-NYG 31","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"8:59","yes",1,10,"-NYG 43","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"7:54","yes",1,10,"-MIN 43","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"7:16","yes",2,7,"-MIN 40","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"6:46","no",1,10,"-MIN 33","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"6:06","yes",1,10,"-MIN 19","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"5:34","yes",2,4,"-MIN 13","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"5:11","yes",1,9,"-MIN 9","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"4:30","no",2,7,"-MIN 7","pass","NYG"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"4:23","no",1,10,"-MIN 25","run","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"3:41","yes",2,11,"-MIN 24","pass","MIN"
"giants_at_vikings_2022_reg_16","Minnesota Vikings",2,"2:59","no",3,1,"-MIN 34","pass","MIN"
"giants_at_vikings_2022_reg_16","New York Giants",2,"2:44","yes",1,10,"-NYG 9","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"2:14","yes",2,4,"-NYG 15","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"2:00","yes",1,10,"-NYG 44","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"1:37","yes",2,3,"-MIN 49","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,"1:30","yes",2,8,"-NYG 46","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,":54","yes",2,17,"-NYG 48","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,":48","yes",3,9,"-MIN 44","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",2,":37","yes",2,5,"-MIN 21","pass","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",3,"15:00","yes",1,10,"-NYG 25","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",3,"14:39","yes",1,10,"-NYG 33","run","NYG"
"giants_at_vikings_2022_reg_16","New York Giants",3,"14:03","yes",2,7,"-NYG 36","pass","NYG"
