"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"15:00","no",1,10,"-JAX 25","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"14:08","yes",1,10,"-JAX 36","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"13:26","no",1,10,"-LAC 44","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"12:56","no",2,6,"-LAC 40","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"12:17","yes",3,5,"-LAC 39","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"12:13","yes",4,5,"-LAC 39","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"12:08","yes",1,10,"-LAC 40","run","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"11:36","yes",2,10,"-LAC 40","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"10:54","yes",3,7,"-LAC 43","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"10:40","no",1,10,"-JAX 15","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"10:01","yes",2,4,"-JAX 21","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"9:24","yes",1,10,"-JAX 26","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"8:47","yes",2,5,"-JAX 31","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"8:07","yes",3,1,"-JAX 35","run","JAX"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"7:18","no",1,10,"-LAC 15","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"6:39","yes",2,5,"-LAC 20","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"6:33","yes",2,15,"-LAC 10","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"5:58","no",3,1,"-LAC 24","run","LAC"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"5:11","yes",1,10,"-JAX 33","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"4:44","yes",1,10,"-JAX 47","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"4:13","yes",2,2,"-LAC 45","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"4:11","yes",3,2,"-LAC 45","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"3:07","yes",1,15,"-LAC 46","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"2:40","yes",1,10,"-LAC 29","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"1:58","yes",2,5,"-LAC 24","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"1:19","no",1,10,"-LAC 11","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,":42","yes",2,9,"-LAC 10","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,":39","yes",3,9,"-LAC 10","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"14:41","no",1,5,"-LAC 5","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"14:04","no",2,5,"-LAC 5","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"13:59","yes",3,5,"-LAC 5","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"13:52","yes",1,10,"-LAC 25","run","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"13:16","no",2,2,"-LAC 33","run","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"12:41","yes",1,10,"-LAC 39","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"12:38","yes",2,10,"-LAC 39","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"12:21","yes",1,10,"-LAC 28","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"11:43","yes",2,8,"-LAC 26","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"11:39","yes",3,8,"-LAC 26","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"11:09","yes",1,10,"-LAC 17","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"10:30","yes",2,7,"-LAC 14","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"10:23","yes",1,10,"-LAC 25","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"9:48","yes",2,6,"-LAC 29","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"9:45","yes",3,6,"-LAC 29","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"9:15","no",1,10,"-LAC 46","run","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"8:38","yes",2,10,"-LAC 46","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"8:11","no",1,10,"-JAX 43","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"7:29","yes",2,1,"-JAX 34","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"6:57","no",1,10,"-JAX 26","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Los Angeles Chargers",1,"6:16","yes",1,10,"-JAX 15","pass","LAC"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"6:10","yes",1,10,"-JAX 25","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"5:35","yes",2,5,"-JAX 30","run","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"4:55","yes",3,5,"-JAX 30","pass","JAX"
"jaguars_at_chargers_2022_reg_3","Jacksonville Jaguars",1,"4:12","no",1,10,"-JAX 44","pass","JAX"
