"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"14:59","yes",1,10,"-JAX 46","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"14:23","yes",2,3,"-KC 47","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"13:47","yes",1,10,"-KC 40","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"13:41","yes",2,10,"-KC 40","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"13:00","yes",3,9,"-KC 39","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"12:49","no",1,10,"-KC 20","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"12:17","yes",2,8,"-KC 22","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"12:13","yes",3,8,"-KC 22","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"11:36","yes",1,10,"-KC 41","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"11:08","yes",2,3,"-KC 48","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"10:36","yes",1,10,"-JAX 40","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"9:52","yes",2,8,"-JAX 38","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"9:46","yes",3,8,"-JAX 38","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"8:56","no",1,10,"-JAX 24","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"8:18","yes",1,10,"-JAX 48","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"7:40","yes",2,11,"-JAX 47","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"7:02","yes",3,3,"-KC 45","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"6:10","yes",1,10,"-KC 20","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"5:42","yes",1,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"5:00","yes",1,10,"-JAX 21","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"4:21","yes",2,4,"-JAX 15","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"3:39","yes",1,6,"-JAX 6","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",1,"3:27","yes",1,10,"-JAX 33","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,"1:12","no",1,10,"-KC 21","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",1,":32","yes",2,6,"-KC 25","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"15:00","no",1,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"14:56","yes",2,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"14:52","yes",3,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"14:35","yes",1,10,"-JAX 46","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"13:49","yes",2,11,"-JAX 45","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"13:44","yes",3,11,"-JAX 45","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"13:14","yes",1,10,"-KC 31","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"12:51","no",1,15,"-KC 36","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"11:25","yes",3,12,"-KC 33","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"11:18","no",1,10,"-KC 41","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"10:43","yes",1,10,"-JAX 27","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"10:01","yes",2,1,"-JAX 18","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"9:55","yes",1,10,"-JAX 25","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"9:15","yes",2,5,"-JAX 30","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"8:48","yes",2,15,"-JAX 20","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"8:05","yes",3,7,"-JAX 28","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"7:49","yes",1,10,"-KC 37","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"7:17","yes",2,5,"-KC 42","run","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"6:25","yes",1,10,"-JAX 6","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"5:39","yes",1,10,"-JAX 21","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"4:57","yes",2,10,"-JAX 21","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,"4:12","yes",3,4,"-JAX 27","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"3:21","yes",1,10,"-KC 14","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"2:49","yes",2,7,"-KC 17","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"2:07","yes",3,1,"-KC 23","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"2:02","no",1,10,"-KC 28","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"1:52","no",1,10,"-JAX 49","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"1:38","yes",1,10,"-JAX 24","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,"1:00","yes",2,2,"-JAX 16","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",2,":51","yes",1,10,"-JAX 13","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":39","yes",1,10,"-JAX 39","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":35","yes",2,10,"-JAX 39","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":28","yes",1,10,"-KC 28","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":21","yes",1,10,"-KC 10","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":15","yes",2,3,"-KC 3","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",2,":07","yes",1,10,"-KC 32","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"15:00","yes",1,10,"-JAX 25","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"14:25","yes",1,10,"-JAX 35","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"13:45","yes",2,5,"-JAX 40","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"13:04","yes",3,7,"-JAX 38","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"12:32","yes",1,10,"-KC 48","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"12:28","yes",2,10,"-KC 48","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"11:00","yes",4,2,"-KC 40","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"10:25","no",1,10,"-KC 32","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"9:47","yes",2,1,"-KC 23","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"9:08","yes",1,10,"-KC 20","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"8:28","yes",2,9,"-KC 19","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"7:53","yes",3,5,"-KC 15","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"7:16","yes",1,8,"-KC 8","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"6:38","yes",2,4,"-KC 4","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,"6:33","yes",2,9,"-KC 9","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"5:46","yes",1,10,"-KC 25","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"5:11","yes",2,8,"-KC 27","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"4:30","yes",3,2,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"3:50","yes",1,10,"-JAX 48","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"3:43","yes",2,10,"-JAX 48","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"3:07","yes",3,6,"-JAX 44","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"2:27","yes",1,10,"-JAX 34","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"1:44","yes",2,2,"-JAX 26","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,"1:23","no",1,4,"-JAX 4","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",3,":41","yes",2,7,"-JAX 7","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",3,":38","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"15:00","yes",1,10,"-JAX 35","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"14:24","yes",2,7,"-JAX 38","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"13:42","yes",1,10,"-JAX 46","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"12:25","yes",3,7,"-JAX 49","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"12:08","no",1,10,"-KC 7","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"11:28","yes",2,7,"-KC 10","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"10:50","yes",1,10,"-KC 22","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"10:12","yes",1,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"10:09","yes",2,10,"-KC 33","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"9:34","yes",3,4,"-KC 39","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"8:49","no",1,10,"-KC 49","run","KC"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"7:55","yes",1,10,"-JAX 46","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"7:25","yes",1,10,"-KC 43","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"6:59","yes",2,6,"-KC 39","run","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"6:28","yes",3,3,"-KC 36","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"6:23","yes",4,3,"-KC 36","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"6:00","yes",1,10,"-KC 26","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"5:37","yes",2,3,"-KC 19","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Jacksonville Jaguars",4,"5:32","yes",3,3,"-KC 19","pass","JAX"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"5:20","yes",1,10,"-KC 10","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"4:39","yes",2,8,"-KC 12","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"4:27","yes",1,10,"-KC 49","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"4:23","no",2,6,"-JAX 47","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"3:40","no",3,1,"-JAX 42","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"2:56","no",4,2,"-JAX 43","pass","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"2:12","yes",1,10,"-JAX 39","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"2:00","yes",2,8,"-JAX 37","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,"1:16","no",3,4,"-JAX 33","run","KC"
"jaguars_at_chiefs_2022_reg_10","Kansas City Chiefs",4,":33","no",1,10,"-JAX 28","run","KC"
