"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"14:53","yes",1,10,"-IND 14","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"14:49","yes",2,10,"-IND 14","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"14:26","yes",1,10,"-IND 34","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"14:02","yes",2,2,"-IND 42","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"13:28","yes",1,10,"-IND 45","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"13:23","yes",1,20,"-IND 35","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"12:58","yes",2,10,"-IND 45","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"12:30","yes",3,7,"-IND 48","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"12:11","yes",1,10,"-JAX 15","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"11:48","no",2,1,"-JAX 24","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"11:10","no",1,10,"-JAX 25","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"10:36","yes",1,10,"-IND 27","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"9:59","no",2,9,"-IND 26","pass","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"9:04","yes",1,10,"-IND 10","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"8:34","yes",2,9,"-IND 11","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"8:04","yes",3,4,"-IND 16","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"7:18","no",1,10,"-JAX 44","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"6:38","yes",1,10,"-IND 42","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"5:58","yes",1,10,"-IND 20","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"5:02","yes",1,1,"-IND 1","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"4:26","yes",2,3,"-IND 3","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",1,"3:51","no",3,1,"-IND 1","run","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"3:42","yes",1,10,"-IND 23","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"3:20","yes",2,1,"-IND 32","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"2:48","yes",1,10,"-IND 36","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"2:20","yes",1,10,"-JAX 47","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"1:40","yes",2,7,"-JAX 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"1:35","yes",3,7,"-JAX 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,"1:09","yes",1,10,"-JAX 29","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",1,":39","yes",2,3,"-JAX 22","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"15:00","yes",3,2,"-JAX 21","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"14:19","yes",1,10,"-JAX 10","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"14:12","yes",2,10,"-JAX 10","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"14:06","yes",3,10,"-JAX 10","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"12:50","yes",1,10,"-JAX 30","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"12:19","yes",2,5,"-JAX 35","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"11:36","no",3,1,"-JAX 39","run","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"11:27","no",1,10,"-IND 25","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"10:44","yes",1,10,"-IND 42","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"10:39","yes",2,10,"-IND 42","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"10:09","yes",1,10,"-JAX 38","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"9:39","yes",2,7,"-JAX 35","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"8:52","yes",3,6,"-JAX 34","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"8:43","yes",1,10,"-JAX 12","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"8:05","yes",2,4,"-JAX 18","pass","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"6:34","yes",1,10,"-IND 46","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"6:10","yes",1,10,"-JAX 32","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"6:06","yes",2,10,"-JAX 32","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"4:33","yes",2,16,"-JAX 25","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"3:52","yes",3,8,"-JAX 17","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"3:46","yes",1,8,"-JAX 8","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"3:40","yes",1,18,"-JAX 18","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"2:57","yes",2,12,"-JAX 12","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"2:11","yes",3,4,"-JAX 4","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"1:57","yes",2,17,"-JAX 16","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,"1:49","yes",3,12,"-JAX 21","pass","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"1:31","yes",1,10,"-IND 39","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,"1:12","yes",2,5,"-IND 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":54","yes",1,10,"-JAX 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":50","yes",2,10,"-JAX 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":47","yes",3,10,"-JAX 44","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":40","yes",1,10,"-JAX 29","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":36","yes",2,4,"-JAX 23","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",2,":31","yes",3,5,"-JAX 24","pass","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",2,":21","no",1,10,"-JAX 25","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"15:00","yes",1,10,"-JAX 25","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"14:17","yes",1,10,"-IND 48","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"13:37","no",2,5,"-IND 43","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"12:58","yes",3,1,"-IND 39","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"12:52","yes",1,10,"-IND 34","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"12:30","no",2,4,"-IND 28","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"11:36","yes",1,15,"-IND 22","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"10:58","yes",1,2,"-IND 2","run","JAX"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"10:55","yes",1,10,"-IND 25","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"10:51","yes",2,10,"-IND 25","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"10:11","yes",3,7,"-IND 28","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"9:24","yes",1,10,"-IND 45","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"8:48","yes",2,9,"-IND 46","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"8:00","yes",3,12,"-IND 43","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"7:55","yes",1,10,"-JAX 42","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"6:55","yes",1,10,"-JAX 24","pass","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"6:19","yes",1,10,"-JAX 14","run","IND"
"jaguars_at_colts_2022_reg_6","Indianapolis Colts",3,"5:47","no",1,3,"-JAX 3","run","IND"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"5:39","no",1,10,"-JAX 19","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"4:59","no",1,10,"-JAX 30","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"4:30","no",1,10,"-JAX 43","run","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"3:53","yes",2,10,"-JAX 43","pass","JAX"
"jaguars_at_colts_2022_reg_6","Jacksonville Jaguars",3,"3:09","yes",3,9,"-JAX 44","pass","JAX"
