"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"15:00","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"14:56","no",1,10,"-JAX 30","run","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"14:36","yes",1,15,"-JAX 25","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"13:39","no",1,10,"-WAS 35","run","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"12:54","yes",1,10,"-WAS 13","run","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"12:10","yes",2,12,"-WAS 15","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"12:04","yes",3,12,"-WAS 15","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"11:52","no",1,10,"-WAS 26","pass","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"11:45","yes",2,10,"-WAS 26","run","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"11:01","yes",3,5,"-WAS 31","pass","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"10:20","no",1,10,"-WAS 44","pass","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"9:44","no",1,10,"-JAX 33","run","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"8:58","yes",2,7,"-JAX 30","pass","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"8:21","yes",1,4,"-JAX 4","run","WAS"
"jaguars_at_commanders_2022_reg_1","Washington Commanders",1,"7:39","yes",2,3,"-JAX 3","pass","WAS"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"7:36","no",1,10,"-JAX 25","run","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"7:12","yes",2,8,"-JAX 27","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"6:33","yes",3,5,"-JAX 30","pass","JAX"
"jaguars_at_commanders_2022_reg_1","Jacksonville Jaguars",1,"5:52","no",1,10,"-JAX 37","pass","JAX"
