"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"14:54","yes",1,10,"-JAX 23","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"14:19","yes",2,5,"-JAX 28","pass","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"14:15","yes",3,5,"-JAX 28","pass","JAX"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"14:00","yes",1,10,"-PHI 21","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"13:56","yes",2,10,"-PHI 21","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"13:16","yes",3,1,"-PHI 30","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"12:51","no",4,1,"-PHI 30","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"11:51","yes",1,15,"-PHI 28","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"11:09","yes",1,10,"-PHI 29","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"10:30","yes",2,11,"-PHI 28","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"9:58","yes",1,10,"-PHI 44","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"9:19","yes",2,6,"-PHI 48","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"8:36","yes",3,7,"-PHI 47","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"8:22","no",1,10,"-JAX 20","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"7:50","no",2,3,"-JAX 27","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"7:07","yes",3,5,"-JAX 25","pass","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"6:24","no",1,10,"-JAX 49","pass","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"5:59","yes",1,10,"-PHI 25","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"5:22","yes",2,5,"-PHI 20","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"4:36","yes",1,3,"-PHI 3","run","JAX"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"3:56","yes",2,4,"-PHI 4","pass","JAX"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"3:44","yes",1,10,"-PHI 22","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"3:16","yes",1,10,"-JAX 47","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"2:40","yes",2,10,"-JAX 47","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"2:03","yes",3,5,"-JAX 42","run","PHI"
"jaguars_at_eagles_2022_reg_4","Philadelphia Eagles",1,"1:21","yes",4,3,"-JAX 40","pass","PHI"
"jaguars_at_eagles_2022_reg_4","Jacksonville Jaguars",1,"1:14","yes",1,10,"-JAX 40","run","JAX"
