"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"15:00","no",1,10,"-JAX 25","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"14:23","yes",2,6,"-JAX 29","run","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"13:36","yes",1,10,"-JAX 16","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"12:57","no",2,9,"-JAX 15","run","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"11:32","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"11:10","yes",2,5,"-JAX 30","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"10:32","yes",3,1,"-JAX 34","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"10:13","yes",1,10,"-NYJ 44","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"9:38","yes",2,6,"-NYJ 40","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"9:32","yes",3,6,"-NYJ 40","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"8:53","no",1,10,"-NYJ 21","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"8:06","yes",2,6,"-NYJ 17","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"7:22","yes",3,3,"-NYJ 14","pass","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"7:15","no",1,10,"-NYJ 25","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"7:11","no",2,10,"-NYJ 25","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"6:31","yes",3,7,"-NYJ 28","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"5:50","no",1,10,"-JAX 45","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"5:09","yes",2,7,"-JAX 42","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"4:59","yes",2,12,"-JAX 47","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",1,"4:56","yes",3,12,"-JAX 47","pass","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"4:41","no",1,10,"-JAX 4","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"4:06","no",2,3,"-JAX 11","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"3:29","yes",1,10,"-JAX 17","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"3:25","yes",2,10,"-JAX 17","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"2:53","no",1,10,"-JAX 28","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"2:11","yes",2,7,"-JAX 31","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,"1:29","no",1,10,"-JAX 45","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",1,":46","yes",2,10,"-JAX 45","pass","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",1,":06","no",1,10,"-NYJ 38","run","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"15:00","yes",1,10,"-NYJ 25","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"14:22","yes",2,9,"-NYJ 24","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"13:45","no",1,10,"-NYJ 15","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"13:03","no",2,6,"-NYJ 11","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"12:18","yes",1,2,"-NYJ 2","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"11:46","no",2,1,"-NYJ 1","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"11:27","no",3,1,"-NYJ 1","run","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"11:21","no",1,10,"-NYJ 33","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"10:39","yes",1,10,"-NYJ 46","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"10:14","no",1,15,"-NYJ 41","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"9:35","no",1,10,"-JAX 44","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"8:33","no",2,21,"-NYJ 45","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"8:25","yes",3,21,"-NYJ 45","pass","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"7:39","no",1,10,"-JAX 12","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"7:01","yes",2,11,"-JAX 11","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"6:19","yes",1,10,"-JAX 26","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"5:39","yes",2,6,"-JAX 30","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"4:57","no",1,10,"-NYJ 34","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"4:16","no",2,8,"-NYJ 32","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"3:36","yes",3,10,"-NYJ 34","pass","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"2:11","yes",2,18,"-NYJ 17","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"2:09","yes",3,18,"-NYJ 17","pass","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"1:51","yes",1,10,"-JAX 33","run","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"1:22","yes",2,7,"-JAX 36","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,":50","yes",3,1,"-JAX 42","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,":43","yes",1,10,"-NYJ 36","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,":38","yes",2,10,"-NYJ 36","pass","JAX"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,":35","yes",3,10,"-NYJ 36","pass","JAX"
"jaguars_at_jets_2022_reg_16","New York Jets",2,":25","yes",1,10,"-NYJ 34","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,":15","yes",2,3,"-NYJ 41","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,":10","yes",3,4,"-NYJ 40","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"14:55","yes",1,10,"-NYJ 17","pass","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"14:23","no",2,4,"-NYJ 23","run","NYJ"
"jaguars_at_jets_2022_reg_16","New York Jets",2,"13:43","yes",3,1,"-NYJ 26","pass","NYJ"
"jaguars_at_jets_2022_reg_16","Jacksonville Jaguars",2,"13:30","no",1,10,"-JAX 28","run","JAX"
