"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"14:56","no",1,10,"-JAX 21","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"14:20","no",2,6,"-JAX 25","run","JAX"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"14:08","yes",1,10,"-JAX 38","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"13:27","no",2,3,"-JAX 31","run","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"12:45","no",1,10,"-JAX 27","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"12:17","yes",1,10,"-JAX 16","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"12:13","yes",2,10,"-JAX 16","run","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"11:33","yes",3,7,"-JAX 13","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"10:58","yes",1,1,"-JAX 1","run","DET"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"10:55","no",1,15,"-JAX 20","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"10:40","yes",1,10,"-DET 43","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"10:21","yes",2,3,"-DET 36","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"9:43","no",3,1,"-DET 34","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"9:39","no",4,1,"-DET 34","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"9:05","yes",1,10,"-DET 31","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"8:34","yes",1,10,"-DET 20","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"7:56","yes",2,3,"-DET 13","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"7:50","yes",3,3,"-DET 13","pass","JAX"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"7:42","no",1,10,"-DET 25","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"6:57","yes",2,5,"-DET 30","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"6:24","yes",1,10,"-DET 38","run","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"6:02","yes",2,5,"-DET 43","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"4:48","no",1,9,"-JAX 9","run","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",1,"4:09","no",2,10,"-JAX 10","pass","DET"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"4:04","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"3:33","yes",1,10,"-JAX 38","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"3:09","yes",2,6,"-JAX 42","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"3:04","yes",3,6,"-JAX 42","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"2:46","no",1,10,"-JAX 49","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"2:10","yes",2,8,"-DET 49","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,"1:34","yes",3,5,"-DET 46","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,":56","no",1,10,"-DET 15","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",1,":21","no",1,10,"-DET 27","run","JAX"
"jaguars_at_lions_2022_reg_13","Detroit Lions",2,"15:00","no",2,4,"-DET 33","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",2,"14:03","no",2,1,"-JAX 34","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",2,"13:30","yes",1,10,"-JAX 30","run","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",2,"12:52","yes",2,6,"-JAX 26","pass","DET"
"jaguars_at_lions_2022_reg_13","Detroit Lions",2,"12:47","yes",3,6,"-JAX 26","pass","DET"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",2,"12:39","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",2,"12:33","no",2,10,"-JAX 25","run","JAX"
"jaguars_at_lions_2022_reg_13","Jacksonville Jaguars",2,"11:49","yes",3,7,"-JAX 28","pass","JAX"
