"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"14:55","no",1,10,"-HST 26","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"14:21","no",2,1,"-HST 35","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"14:17","no",3,1,"-HST 35","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"13:32","no",1,10,"-HST 36","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"12:56","yes",2,3,"-HST 43","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"12:12","no",3,1,"-HST 45","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"11:35","no",4,1,"-HST 45","run","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"11:30","yes",1,10,"-HST 45","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"11:04","yes",1,10,"-HST 32","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"10:42","yes",2,1,"-HST 23","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"10:18","no",1,10,"-HST 19","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"10:13","yes",2,10,"-HST 19","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"9:48","yes",1,5,"-HST 5","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"9:08","yes",2,7,"-HST 7","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"8:29","yes",3,5,"-HST 5","run","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"8:19","yes",1,10,"-HST 26","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"7:49","yes",2,6,"-HST 30","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"7:44","yes",3,6,"-HST 30","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"6:50","yes",1,10,"-JAX 23","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"6:14","yes",2,7,"-JAX 26","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"6:10","no",1,10,"-JAX 31","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"5:43","yes",1,10,"-HST 42","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"5:09","no",2,7,"-HST 39","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"4:29","yes",3,12,"-HST 44","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"3:41","no",1,10,"-HST 1","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"3:07","yes",2,8,"-HST 3","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"3:02","yes",1,10,"-HST 24","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"2:17","yes",2,9,"-HST 25","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",1,"1:32","yes",3,4,"-HST 30","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,"1:14","yes",1,10,"-JAX 35","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,":55","no",2,2,"-JAX 43","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",1,":21","no",1,10,"-JAX 47","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"15:00","yes",2,5,"-HST 48","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"14:57","yes",3,5,"-HST 48","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"14:13","yes",1,10,"-HST 11","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"13:30","no",2,3,"-HST 18","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"12:46","yes",3,4,"-HST 17","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"12:30","yes",1,10,"-JAX 38","run","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"12:17","yes",1,10,"-HST 23","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"11:35","yes",1,10,"-HST 25","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"10:43","yes",2,8,"-HST 27","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"10:05","yes",3,8,"-HST 27","run","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"9:07","yes",1,10,"-JAX 9","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"8:31","yes",2,5,"-JAX 14","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"8:21","no",1,10,"-JAX 41","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"7:46","no",1,10,"-JAX 15","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"7:04","yes",2,5,"-JAX 10","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"7:00","yes",3,5,"-JAX 10","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"6:54","yes",4,5,"-JAX 10","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"6:49","yes",1,10,"-JAX 10","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"6:12","yes",2,10,"-JAX 10","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"5:37","yes",3,3,"-JAX 17","run","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"4:45","no",1,10,"-HST 42","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"4:03","yes",2,7,"-HST 45","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"3:58","yes",3,7,"-HST 45","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"3:20","no",1,10,"-JAX 46","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",2,"3:15","yes",2,10,"-JAX 46","run","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"2:35","yes",3,8,"-JAX 44","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"1:53","yes",1,10,"-JAX 10","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"1:48","yes",2,8,"-JAX 12","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,"1:08","yes",3,2,"-JAX 18","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,":54","yes",2,18,"-JAX 40","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",2,":46","yes",3,20,"-JAX 38","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"15:00","yes",1,10,"-JAX 25","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"14:24","yes",2,13,"-JAX 22","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"14:20","yes",1,10,"-JAX 27","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"13:48","yes",2,9,"-JAX 28","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"13:03","no",1,10,"-JAX 44","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"12:59","yes",2,10,"-JAX 44","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"12:33","yes",1,10,"-HST 39","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"11:57","yes",2,13,"-HST 42","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"11:20","yes",3,7,"-HST 36","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"10:48","yes",1,10,"-HST 25","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"10:08","yes",2,8,"-HST 23","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"10:03","no",1,10,"-HST 18","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"9:31","yes",1,3,"-HST 3","run","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"9:28","no",1,10,"-HST 25","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"8:52","yes",2,7,"-HST 28","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"8:10","yes",1,10,"-HST 48","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"7:25","no",1,10,"-JAX 41","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"7:00","yes",1,20,"-HST 49","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"6:54","yes",2,20,"-HST 49","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,"6:50","yes",3,20,"-HST 49","run","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"5:44","yes",1,10,"-JAX 21","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"5:11","yes",2,4,"-JAX 27","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"4:33","no",1,10,"-JAX 36","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"3:51","yes",1,10,"-JAX 47","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"3:11","yes",2,2,"-HST 45","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"3:06","yes",3,2,"-HST 45","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"2:48","no",1,10,"-HST 39","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,"1:29","yes",2,15,"-HST 31","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",3,":45","yes",1,10,"-HST 10","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",3,":08","yes",2,5,"-HST 15","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"15:00","yes",1,10,"-HST 21","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"14:23","yes",2,3,"-HST 28","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"13:39","yes",1,10,"-HST 32","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"13:33","yes",2,10,"-HST 32","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"13:28","yes",3,10,"-HST 32","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"12:55","yes",1,10,"-HST 42","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"12:31","yes",2,8,"-HST 44","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"12:25","yes",3,8,"-HST 44","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"11:42","yes",4,3,"-HST 49","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"11:38","yes",1,10,"-HST 48","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"11:01","yes",2,16,"-JAX 46","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"10:56","yes",3,16,"-JAX 46","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"10:00","yes",1,10,"-HST 10","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"9:36","yes",2,8,"-HST 12","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"8:15","no",1,10,"-HST 40","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"7:34","no",2,5,"-HST 35","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"6:50","yes",3,5,"-HST 35","pass","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"5:59","yes",1,10,"-HST 31","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"5:36","yes",2,5,"-HST 36","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"5:10","yes",3,3,"-HST 38","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"4:39","yes",1,10,"-JAX 45","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"4:32","yes",1,20,"-HST 45","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"4:10","yes",2,18,"-HST 47","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"4:06","yes",3,18,"-HST 47","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"4:00","yes",4,18,"-HST 47","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"3:53","no",1,10,"-JAX 41","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"3:12","no",2,6,"-JAX 45","run","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,"2:28","no",3,6,"-JAX 45","run","JAX"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"1:54","yes",1,10,"-HST 11","pass","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"1:25","yes",3,1,"-HST 20","run","HOU"
"jaguars_at_texans_2022_reg_17","Houston Texans",4,"1:05","yes",1,10,"-HST 25","pass","HOU"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,":44","yes",3,1,"-HST 34","pass","JAX"
"jaguars_at_texans_2022_reg_17","Jacksonville Jaguars",4,":14","yes",1,10,"-HST 46","pass","JAX"
