"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"14:55","no",1,10,"-TEN 24","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"14:47","yes",2,10,"-TEN 24","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"14:03","yes",3,10,"-TEN 24","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"13:34","no",1,10,"-TEN 42","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"12:55","no",2,7,"-TEN 45","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"11:55","yes",2,1,"-JAX 41","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"11:21","no",1,10,"-JAX 37","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"10:39","yes",1,10,"-JAX 19","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"9:56","yes",2,4,"-JAX 13","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"9:13","no",1,3,"-JAX 3","run","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"9:09","yes",1,10,"-JAX 25","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"9:06","no",2,10,"-JAX 25","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"8:28","yes",3,5,"-JAX 30","pass","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"8:13","yes",1,10,"-TEN 24","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"7:35","yes",2,11,"-TEN 23","pass","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"6:46","no",1,10,"-TEN 20","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"6:11","yes",2,2,"-TEN 12","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"6:07","yes",3,2,"-TEN 12","pass","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"6:01","no",1,10,"-TEN 25","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"5:56","yes",2,10,"-TEN 25","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"5:06","yes",1,10,"-JAX 25","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"4:31","no",2,5,"-JAX 20","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"3:53","no",1,10,"-JAX 13","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"3:09","yes",2,7,"-JAX 10","pass","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",1,"3:03","no",1,10,"-JAX 25","run","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"2:27","yes",1,10,"-JAX 36","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"1:08","no",2,16,"-JAX 30","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,"1:05","yes",3,16,"-JAX 30","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",1,":22","no",1,10,"-TEN 29","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"15:00","yes",1,10,"-TEN 41","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"14:22","no",2,6,"-TEN 45","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"13:41","yes",3,6,"-TEN 45","pass","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"12:56","yes",1,10,"-JAX 46","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"12:15","no",1,10,"-TEN 42","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"11:50","yes",1,20,"-JAX 48","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"11:19","yes",2,7,"-TEN 39","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"10:38","no",1,10,"-TEN 14","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"10:01","no",2,6,"-TEN 10","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"9:39","yes",2,16,"-TEN 20","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"9:03","yes",3,15,"-TEN 19","pass","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"8:52","yes",1,10,"-TEN 25","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"8:11","yes",2,10,"-TEN 25","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"7:29","yes",3,4,"-TEN 31","pass","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"7:16","no",1,10,"-JAX 29","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"6:53","no",1,10,"-JAX 42","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"6:15","yes",2,11,"-JAX 41","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"5:07","yes",2,8,"-TEN 46","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"4:26","yes",3,6,"-TEN 44","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"3:54","yes",1,10,"-TEN 31","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"3:22","yes",2,4,"-TEN 25","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"3:17","yes",3,4,"-TEN 25","pass","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"3:10","no",1,10,"-TEN 40","run","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,"2:33","no",2,8,"-TEN 42","run","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"1:49","no",1,10,"-JAX 22","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"1:18","yes",1,10,"-JAX 45","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,":34","no",2,10,"-JAX 45","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,":27","yes",3,2,"-TEN 47","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,":21","yes",1,10,"-TEN 29","pass","JAX"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,":11","yes",1,10,"-TEN 40","pass","TEN"
"jaguars_at_titans_2022_reg_14","Tennessee Titans",2,":06","yes",1,10,"-JAX 48","pass","TEN"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"14:48","yes",1,10,"-JAX 28","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"14:15","yes",2,1,"-JAX 37","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"13:46","yes",1,10,"-JAX 46","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"13:43","yes",2,10,"-JAX 46","pass","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"13:07","yes",1,10,"-TEN 40","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"12:11","yes",2,15,"-TEN 45","run","JAX"
"jaguars_at_titans_2022_reg_14","Jacksonville Jaguars",2,"11:28","yes",3,5,"-TEN 35","pass","JAX"
