"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"14:55","yes",1,10,"-BUF 23","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"14:22","no",2,4,"-BUF 29","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"13:43","yes",3,2,"-BUF 31","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",1,"13:29","yes",1,10,"-NYJ 2","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"12:46","yes",2,8,"-NYJ 4","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"12:42","yes",3,8,"-NYJ 4","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"12:03","yes",1,10,"-NYJ 14","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"10:53","yes",1,15,"-NYJ 19","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"10:09","yes",2,17,"-NYJ 17","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"9:24","yes",3,14,"-NYJ 20","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"8:27","no",1,10,"-BUF 33","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"7:49","yes",2,3,"-BUF 40","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"7:10","no",1,10,"-NYJ 49","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"7:01","no",2,10,"-NYJ 49","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",1,"6:03","no",1,15,"-NYJ 15","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"5:59","yes",2,15,"-NYJ 15","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"4:49","yes",1,10,"-NYJ 35","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"4:16","no",2,4,"-NYJ 41","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"3:35","yes",3,4,"-NYJ 41","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"3:19","no",1,10,"-BUF 18","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"3:16","yes",1,20,"-BUF 8","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"3:12","yes",2,20,"-BUF 8","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"2:42","yes",3,16,"-BUF 12","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",1,"1:48","yes",2,19,"-NYJ 43","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,"1:44","yes",3,19,"-NYJ 43","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",1,"1:29","yes",1,10,"-BUF 20","run","BUF"
"jets_at_bills_2022_reg_14","New York Jets",1,":52","yes",2,10,"-BUF 20","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",1,":31","yes",3,6,"-BUF 24","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"15:00","yes",2,19,"-BUF 21","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"14:19","yes",3,15,"-BUF 25","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"13:38","no",1,10,"-BUF 41","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"13:01","yes",2,9,"-BUF 42","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"12:56","yes",3,9,"-BUF 42","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",2,"12:02","no",1,10,"-NYJ 6","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"11:28","no",2,7,"-NYJ 9","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"10:51","yes",1,10,"-NYJ 19","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"10:11","yes",2,8,"-NYJ 21","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"9:30","yes",3,11,"-NYJ 18","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"8:14","no",2,5,"-NYJ 45","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"7:35","yes",3,2,"-NYJ 42","run","BUF"
"jets_at_bills_2022_reg_14","New York Jets",2,"5:07","yes",1,10,"-BUF 38","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"3:48","yes",3,23,"-NYJ 49","run","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"3:04","yes",1,10,"-BUF 30","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"2:36","yes",2,10,"-BUF 30","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"2:00","yes",3,6,"-BUF 34","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"1:17","yes",1,10,"-BUF 45","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,":52","yes",2,2,"-NYJ 47","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,":47","yes",1,10,"-NYJ 40","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,":40","yes",1,10,"-NYJ 29","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,":34","yes",1,10,"-NYJ 24","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",2,":22","yes",1,10,"-NYJ 24","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"14:54","yes",1,10,"-NYJ 28","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"14:13","yes",2,12,"-NYJ 26","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"14:08","yes",3,12,"-NYJ 26","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"13:39","yes",1,10,"-NYJ 39","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"13:00","yes",2,10,"-NYJ 39","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"12:55","yes",3,10,"-NYJ 39","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"12:09","yes",1,10,"-BUF 36","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"11:26","no",1,10,"-BUF 24","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"10:46","yes",2,3,"-BUF 17","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"10:05","yes",1,10,"-BUF 13","run","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"9:59","yes",1,10,"-BUF 25","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"9:56","yes",2,10,"-BUF 25","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"9:21","yes",1,10,"-NYJ 43","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"8:52","yes",2,4,"-NYJ 37","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"8:47","yes",1,10,"-NYJ 17","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"8:04","yes",2,6,"-NYJ 13","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"7:24","yes",1,5,"-NYJ 5","run","BUF"
"jets_at_bills_2022_reg_14","New York Jets",2,"7:14","yes",1,10,"-NYJ 25","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"6:41","no",2,1,"-NYJ 34","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"6:04","yes",3,1,"-NYJ 34","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"5:27","no",1,10,"-NYJ 36","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"4:30","no",1,10,"-NYJ 44","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"3:52","no",1,10,"-NYJ 27","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"3:30","yes",1,20,"-NYJ 37","pass","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"2:56","yes",2,11,"-NYJ 28","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",2,"2:16","yes",3,3,"-NYJ 20","pass","BUF"
"jets_at_bills_2022_reg_14","New York Jets",2,"2:07","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,"1:40","yes",2,20,"-NYJ 15","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",2,":52","yes",3,19,"-NYJ 16","run","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"15:00","no",1,10,"-BUF 48","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"14:21","yes",1,10,"-NYJ 36","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"13:37","no",2,6,"-NYJ 32","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"12:52","yes",3,3,"-NYJ 29","run","BUF"
"jets_at_bills_2022_reg_14","New York Jets",3,"12:23","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",3,"11:07","no",1,10,"-NYJ 37","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",3,"11:02","yes",2,10,"-NYJ 37","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",3,"10:33","no",3,1,"-NYJ 46","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",3,"9:20","yes",2,21,"-NYJ 42","pass","NYJ"
"jets_at_bills_2022_reg_14","New York Jets",3,"8:39","yes",3,14,"-NYJ 49","pass","NYJ"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"8:26","no",1,10,"-BUF 8","run","BUF"
"jets_at_bills_2022_reg_14","Buffalo Bills",3,"7:44","yes",2,9,"-BUF 9","pass","BUF"
