"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_broncos_2022_reg_7","New York Jets",1,"15:00","yes",1,10,"-NYJ 25","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"14:55","no",2,10,"-NYJ 25","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"14:48","yes",3,10,"-NYJ 25","pass","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"14:37","no",1,10,"-DEN 17","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"14:06","no",2,7,"-DEN 20","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"13:32","yes",3,7,"-DEN 20","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"12:57","no",1,10,"-DEN 36","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"12:26","no",2,4,"-DEN 42","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"11:49","yes",3,3,"-DEN 43","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",1,"11:36","no",1,10,"-NYJ 13","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"10:54","yes",2,6,"-NYJ 17","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"10:12","yes",3,1,"-NYJ 22","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"10:02","yes",3,11,"-NYJ 12","pass","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"9:04","yes",1,10,"-DEN 39","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"9:00","no",2,10,"-DEN 39","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"8:56","yes",3,10,"-DEN 39","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",1,"8:40","no",1,10,"-NYJ 27","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"7:59","yes",2,6,"-NYJ 31","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"7:44","no",1,10,"-NYJ 38","run","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"7:34","no",1,10,"-DEN 25","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"6:58","yes",2,9,"-DEN 26","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"6:24","no",3,1,"-DEN 34","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"5:59","no",1,10,"-DEN 36","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"5:26","no",2,5,"-DEN 41","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"5:11","no",1,10,"-DEN 46","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"5:04","no",2,10,"-DEN 46","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"4:48","no",1,10,"-NYJ 44","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"4:14","no",2,4,"-NYJ 38","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"3:40","yes",1,10,"-NYJ 23","run","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",1,"3:00","yes",3,10,"-NYJ 23","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"2:15","yes",1,6,"-NYJ 6","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"1:37","no",2,2,"-NYJ 2","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"1:33","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"14:53","no",1,10,"-DEN 48","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"13:39","yes",3,7,"-NYJ 49","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"13:04","no",4,1,"-NYJ 43","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"12:14","no",1,10,"-NYJ 42","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"12:07","no",2,10,"-NYJ 42","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"11:29","yes",3,6,"-NYJ 38","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",1,"11:20","no",1,10,"-NYJ 46","run","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"9:42","no",1,10,"-DEN 1","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"9:09","no",2,1,"-DEN 10","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"8:31","yes",1,10,"-DEN 13","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"7:38","yes",1,10,"-NYJ 42","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"7:35","no",2,10,"-NYJ 42","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"6:47","yes",3,8,"-NYJ 40","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"6:42","no",1,10,"-NYJ 35","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"6:05","no",2,9,"-NYJ 34","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"5:27","no",1,10,"-NYJ 21","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",1,"4:21","yes",3,13,"-NYJ 24","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",1,"3:37","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"3:16","yes",2,8,"-NYJ 27","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"3:11","yes",3,8,"-NYJ 27","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"2:22","yes",1,10,"-NYJ 45","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"2:00","yes",1,25,"-NYJ 30","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"1:51","yes",1,10,"-DEN 33","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,"1:12","yes",2,6,"-DEN 29","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,":38","yes",1,10,"-DEN 23","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,":32","yes",1,20,"-DEN 33","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,":24","yes",2,20,"-DEN 33","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",1,":19","yes",3,15,"-DEN 28","run","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"15:00","yes",1,10,"-DEN 25","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"14:57","yes",2,10,"-DEN 25","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"14:20","yes",3,3,"-DEN 32","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"13:43","yes",1,10,"-DEN 39","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"13:36","yes",2,10,"-DEN 39","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"13:02","yes",3,6,"-DEN 43","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",2,"12:12","no",1,10,"-NYJ 13","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",2,"11:32","no",1,10,"-NYJ 38","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",2,"11:16","no",1,5,"-NYJ 43","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",2,"10:35","yes",2,3,"-NYJ 45","pass","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",2,"10:31","yes",3,3,"-NYJ 45","pass","NYJ"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"10:14","yes",1,10,"-DEN 20","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"9:41","no",2,6,"-DEN 24","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"9:30","yes",2,11,"-DEN 19","pass","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"9:25","no",1,10,"-DEN 34","run","DEN"
"jets_at_broncos_2022_reg_7","Denver Broncos",2,"8:51","no",2,9,"-DEN 35","pass","DEN"
"jets_at_broncos_2022_reg_7","New York Jets",2,"8:06","no",1,10,"-NYJ 32","run","NYJ"
"jets_at_broncos_2022_reg_7","New York Jets",2,"7:31","yes",2,8,"-NYJ 34","pass","NYJ"
