"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_browns_2022_reg_2","New York Jets",1,"14:56","yes",1,10,"-NYJ 31","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"14:19","no",2,9,"-NYJ 32","run","NYJ"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"13:32","no",1,10,"-CLV 10","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"12:59","no",2,2,"-CLV 18","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"12:22","no",1,10,"-CLV 25","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"11:42","yes",2,9,"-CLV 26","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"10:58","no",1,10,"-CLV 39","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"10:13","no",2,6,"-CLV 43","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"9:33","no",1,10,"-NYJ 44","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"8:55","no",2,3,"-NYJ 37","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"8:15","no",1,10,"-NYJ 23","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"7:39","no",2,7,"-NYJ 20","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"6:56","yes",3,3,"-NYJ 16","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"6:16","yes",1,10,"-NYJ 12","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"5:35","no",2,2,"-NYJ 4","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",1,"5:00","no",3,2,"-NYJ 4","run","CLE"
"jets_at_browns_2022_reg_2","New York Jets",1,"4:55","yes",1,10,"-NYJ 25","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"4:15","yes",2,12,"-NYJ 23","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"3:17","yes",3,4,"-NYJ 31","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"2:33","no",1,10,"-NYJ 38","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"2:27","yes",2,10,"-NYJ 38","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"1:45","yes",3,2,"-NYJ 46","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"1:40","no",4,2,"-NYJ 46","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,"1:06","no",1,10,"-CLV 37","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,":33","no",2,10,"-CLV 37","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",1,":10","yes",2,15,"-CLV 42","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",2,"15:00","yes",3,2,"-CLV 29","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",2,"14:25","no",1,6,"-CLV 6","run","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",2,"13:46","yes",2,7,"-CLV 7","pass","NYJ"
"jets_at_browns_2022_reg_2","New York Jets",2,"13:09","yes",3,2,"-CLV 2","pass","NYJ"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"12:59","yes",1,10,"-CLV 39","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"12:21","yes",2,6,"-CLV 43","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"11:38","yes",3,3,"-CLV 46","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"11:15","no",1,10,"-NYJ 45","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"10:54","no",1,10,"-NYJ 32","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"10:16","yes",2,6,"-NYJ 28","run","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"9:34","yes",3,6,"-NYJ 28","pass","CLE"
"jets_at_browns_2022_reg_2","Cleveland Browns",2,"9:00","yes",1,8,"-NYJ 8","run","CLE"
