"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"15:00","yes",1,10,"-GB 25","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"14:24","yes",2,9,"-GB 26","pass","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,"14:03","no",1,10,"-NYJ 23","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"13:22","yes",2,7,"-NYJ 26","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"12:41","yes",3,1,"-NYJ 32","pass","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"12:28","no",1,10,"-GB 21","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"10:59","yes",3,23,"-GB 8","pass","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,"10:12","no",1,10,"-NYJ 24","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"9:30","no",2,1,"-NYJ 33","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"8:53","no",1,10,"-NYJ 35","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"8:49","yes",2,10,"-NYJ 35","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"8:11","yes",3,6,"-NYJ 39","run","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"7:48","no",1,10,"-GB 21","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"7:17","no",2,4,"-GB 27","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"6:34","yes",3,6,"-GB 25","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"6:28","yes",1,10,"-GB 40","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"5:32","yes",2,8,"-GB 42","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"5:27","yes",3,8,"-GB 42","pass","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,"4:40","no",1,10,"-NYJ 15","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"3:58","no",2,7,"-NYJ 18","run","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"2:22","no",1,10,"-GB 27","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"2:16","yes",2,10,"-GB 27","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"1:42","yes",3,7,"-GB 30","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"1:10","yes",1,10,"-NYJ 35","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,":33","yes",2,5,"-NYJ 30","pass","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,":30","yes",3,5,"-NYJ 30","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"14:12","yes",2,14,"-NYJ 33","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"14:06","yes",2,29,"-NYJ 18","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"13:26","yes",3,26,"-NYJ 21","run","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"12:41","yes",1,10,"-NYJ 36","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"12:18","yes",1,16,"-NYJ 42","pass","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,"10:59","yes",1,10,"-NYJ 8","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"10:55","no",2,10,"-NYJ 8","pass","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"10:50","yes",3,10,"-NYJ 8","pass","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"10:00","yes",1,10,"-GB 24","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"9:24","yes",2,4,"-GB 30","run","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"8:46","yes",3,1,"-GB 33","run","GB"
"jets_at_packers_2022_reg_6","New York Jets",1,"8:44","no",1,10,"-GB 34","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"8:08","no",2,1,"-GB 25","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"7:23","no",1,10,"-GB 18","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"6:45","no",2,9,"-GB 17","run","NYJ"
"jets_at_packers_2022_reg_6","New York Jets",1,"5:59","yes",3,6,"-GB 14","pass","NYJ"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"5:46","yes",1,10,"-GB 25","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"5:40","yes",2,10,"-GB 25","pass","GB"
"jets_at_packers_2022_reg_6","Green Bay Packers",1,"5:06","yes",3,4,"-GB 31","pass","GB"
