"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"14:26","no",2,17,"-NE 18","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"13:44","yes",3,13,"-NE 22","pass","NE"
"jets_at_patriots_2022_reg_11","New York Jets",1,"13:07","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_patriots_2022_reg_11","New York Jets",1,"12:34","no",2,4,"-NYJ 31","run","NYJ"
"jets_at_patriots_2022_reg_11","New York Jets",1,"11:52","yes",3,4,"-NYJ 31","pass","NYJ"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"11:40","yes",1,10,"-NE 26","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"11:04","yes",2,9,"-NE 27","pass","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"10:24","yes",3,2,"-NE 34","pass","NE"
"jets_at_patriots_2022_reg_11","New York Jets",1,"10:11","no",1,10,"-NYJ 23","run","NYJ"
"jets_at_patriots_2022_reg_11","New York Jets",1,"8:54","yes",1,10,"-NYJ 33","pass","NYJ"
"jets_at_patriots_2022_reg_11","New York Jets",1,"8:50","yes",2,10,"-NYJ 33","run","NYJ"
"jets_at_patriots_2022_reg_11","New York Jets",1,"8:12","yes",3,7,"-NYJ 36","pass","NYJ"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"7:43","yes",1,10,"-NE 20","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"6:30","no",1,10,"-NE 47","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"6:00","yes",2,8,"-NE 49","pass","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"5:21","no",1,10,"-NYJ 40","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"4:41","yes",2,11,"-NYJ 41","pass","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"4:12","no",3,1,"-NYJ 31","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"3:32","no",1,10,"-NYJ 29","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"2:21","no",3,1,"-NYJ 20","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"1:43","yes",1,10,"-NYJ 15","run","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"1:24","yes",1,15,"-NYJ 20","pass","NE"
"jets_at_patriots_2022_reg_11","New England Patriots",1,"1:19","yes",2,15,"-NYJ 20","pass","NE"
