"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"14:54","no",1,10,"-SEA 27","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"14:02","no",1,10,"-NYJ 13","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"13:32","yes",2,9,"-NYJ 12","pass","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"13:25","no",1,10,"-NYJ 25","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"13:19","yes",2,10,"-NYJ 25","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"12:42","no",1,10,"-NYJ 42","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"12:09","no",1,10,"-SEA 36","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"11:28","yes",2,7,"-SEA 33","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"11:13","yes",1,10,"-SEA 37","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"10:36","no",1,10,"-SEA 48","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"9:58","no",2,4,"-NYJ 46","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"9:16","yes",1,10,"-NYJ 17","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"8:35","no",2,3,"-NYJ 10","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"8:07","yes",1,6,"-NYJ 6","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"7:28","no",2,4,"-NYJ 4","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"6:44","yes",3,6,"-NYJ 6","pass","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"6:31","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"5:53","no",1,10,"-NYJ 44","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"5:14","no",2,9,"-NYJ 45","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"5:09","yes",3,9,"-NYJ 45","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"4:33","yes",1,10,"-SEA 40","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"3:55","no",1,10,"-SEA 28","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"3:15","yes",2,11,"-SEA 29","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",1,"3:10","yes",3,11,"-SEA 29","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"2:19","yes",1,10,"-SEA 25","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"2:13","yes",2,10,"-SEA 25","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"1:27","yes",3,3,"-SEA 32","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,"1:21","no",1,10,"-SEA 37","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,":52","yes",2,2,"-SEA 45","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",1,":10","yes",1,10,"-NYJ 48","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"15:00","yes",1,7,"-NYJ 7","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"14:19","no",2,7,"-NYJ 7","pass","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"14:15","no",1,5,"-NYJ 30","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"13:35","no",1,10,"-SEA 46","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"13:01","no",2,4,"-SEA 40","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"12:25","yes",1,10,"-SEA 36","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"11:50","yes",2,10,"-SEA 36","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"11:15","no",1,10,"-SEA 23","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"10:39","yes",2,8,"-SEA 21","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"9:41","yes",1,15,"-SEA 18","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"8:52","yes",2,16,"-SEA 19","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"7:35","yes",2,12,"-SEA 23","run","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"5:53","no",1,10,"-NYJ 44","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"5:15","no",1,10,"-SEA 44","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"5:11","no",2,10,"-SEA 44","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"4:29","yes",3,4,"-SEA 38","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"3:47","yes",4,4,"-SEA 38","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"3:43","no",1,10,"-SEA 39","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"3:07","yes",2,6,"-SEA 43","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"2:25","no",1,10,"-NYJ 48","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"2:00","yes",2,5,"-NYJ 43","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"1:22","yes",3,4,"-NYJ 42","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"1:05","yes",2,19,"-NYJ 40","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"1:02","yes",3,19,"-NYJ 40","pass","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",2,":47","yes",1,10,"-NYJ 1","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,":35","no",3,1,"-NYJ 10","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,":31","yes",1,10,"-NYJ 12","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,":24","yes",1,10,"-NYJ 22","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,":19","yes",2,10,"-NYJ 22","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,":12","yes",1,5,"-NYJ 32","pass","SEA"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"14:54","no",1,10,"-NYJ 28","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"14:15","yes",2,10,"-NYJ 28","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"14:09","yes",3,10,"-NYJ 28","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"13:25","yes",1,10,"-SEA 42","pass","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"12:51","no",2,6,"-SEA 38","run","NYJ"
"jets_at_seahawks_2022_reg_17","New York Jets",2,"12:10","yes",3,7,"-SEA 39","pass","NYJ"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"12:00","no",1,10,"-SEA 47","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"11:19","no",2,5,"-NYJ 48","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"10:45","yes",3,2,"-NYJ 45","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"10:03","no",1,10,"-NYJ 41","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"9:23","yes",2,9,"-NYJ 40","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"9:00","no",3,1,"-NYJ 32","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"8:31","no",4,1,"-NYJ 32","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"7:48","no",1,10,"-NYJ 29","run","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"7:09","yes",2,7,"-NYJ 26","pass","SEA"
"jets_at_seahawks_2022_reg_17","Seattle Seahawks",2,"6:49","yes",1,10,"-NYJ 16","pass","SEA"
