"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"15:00","yes",1,10,"-PIT 25","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"14:23","no",2,4,"-PIT 31","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"13:46","no",1,10,"-PIT 36","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"13:04","no",2,4,"-PIT 42","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"12:55","yes",3,4,"-PIT 42","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"12:19","no",1,10,"-PIT 48","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"11:42","yes",2,7,"-NYJ 49","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"11:14","no",2,12,"-PIT 46","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"10:33","yes",3,4,"-NYJ 46","run","PIT"
"jets_at_steelers_2022_reg_4","New York Jets",1,"9:57","no",1,10,"-NYJ 9","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"9:17","yes",2,7,"-NYJ 12","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"8:37","yes",3,7,"-NYJ 12","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"6:53","yes",2,14,"-PIT 40","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"6:17","yes",3,5,"-PIT 31","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"5:37","no",1,10,"-PIT 26","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"5:32","no",2,10,"-PIT 26","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"4:50","yes",3,10,"-PIT 26","pass","NYJ"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"4:03","no",1,10,"-PIT 25","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"3:25","yes",2,10,"-PIT 25","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",1,"2:45","yes",3,5,"-PIT 30","pass","PIT"
"jets_at_steelers_2022_reg_4","New York Jets",1,"2:05","no",1,10,"-NYJ 30","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"1:25","no",2,7,"-NYJ 33","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,"1:12","yes",3,7,"-NYJ 33","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",1,":26","yes",1,10,"-PIT 47","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"15:00","yes",2,7,"-PIT 44","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"14:23","yes",1,10,"-PIT 16","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"13:45","yes",2,7,"-PIT 13","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"13:22","no",1,4,"-PIT 4","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"12:42","yes",2,2,"-PIT 2","pass","NYJ"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"12:31","yes",1,10,"-PIT 25","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"12:06","yes",2,7,"-PIT 28","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"11:52","yes",2,16,"-PIT 19","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"11:26","yes",1,10,"-PIT 45","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"10:47","no",2,7,"-PIT 48","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"10:03","no",1,10,"-NYJ 38","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"9:21","no",1,10,"-NYJ 25","run","PIT"
"jets_at_steelers_2022_reg_4","New York Jets",2,"8:30","yes",1,10,"-NYJ 40","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"7:51","yes",2,8,"-NYJ 42","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"7:49","yes",3,8,"-NYJ 42","pass","NYJ"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"7:33","no",1,10,"-PIT 15","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"7:06","no",1,10,"-PIT 39","pass","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"7:00","yes",1,15,"-PIT 34","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"5:36","yes",3,18,"-PIT 31","pass","PIT"
"jets_at_steelers_2022_reg_4","New York Jets",2,"5:22","yes",1,10,"-NYJ 9","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"4:45","yes",1,10,"-NYJ 35","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"4:04","yes",2,14,"-NYJ 31","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"3:58","yes",3,14,"-NYJ 31","pass","NYJ"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"3:43","yes",1,10,"-PIT 34","run","PIT"
"jets_at_steelers_2022_reg_4","Pittsburgh Steelers",2,"3:16","yes",2,13,"-PIT 31","pass","PIT"
"jets_at_steelers_2022_reg_4","New York Jets",2,"2:32","yes",1,10,"-NYJ 46","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"2:00","yes",2,10,"-NYJ 46","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"1:49","no",1,10,"-PIT 44","pass","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"1:40","yes",2,10,"-PIT 44","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,"1:06","no",1,10,"-PIT 28","run","NYJ"
"jets_at_steelers_2022_reg_4","New York Jets",2,":40","yes",2,11,"-PIT 29","pass","NYJ"
