"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"jets_at_vikings_2022_reg_13","New York Jets",1,"15:00","yes",1,10,"-NYJ 25","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"14:43","yes",1,13,"-NYJ 22","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"14:17","yes",2,8,"-NYJ 27","pass","NYJ"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"13:25","no",1,10,"-NYJ 34","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"12:48","no",2,9,"-NYJ 33","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"12:42","yes",3,9,"-NYJ 33","pass","MIN"
"jets_at_vikings_2022_reg_13","New York Jets",1,"12:33","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"12:08","no",2,8,"-NYJ 27","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"11:41","no",1,10,"-NYJ 36","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"11:15","yes",2,7,"-NYJ 39","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"10:31","no",3,1,"-NYJ 45","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"10:03","no",1,10,"-NYJ 49","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"9:24","no",2,6,"-MIN 47","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"9:19","yes",3,6,"-MIN 47","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"8:50","no",1,10,"-MIN 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"8:45","yes",2,10,"-MIN 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"8:40","yes",3,10,"-MIN 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"8:30","yes",1,10,"-MIN 25","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"8:26","yes",2,10,"-MIN 25","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"7:50","no",1,10,"-MIN 46","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"7:26","no",2,3,"-NYJ 47","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"7:20","yes",3,3,"-NYJ 47","pass","MIN"
"jets_at_vikings_2022_reg_13","New York Jets",1,"7:09","no",1,10,"-NYJ 8","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"6:42","no",2,7,"-NYJ 11","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"5:53","yes",1,15,"-NYJ 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"5:49","yes",2,15,"-NYJ 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"5:43","yes",3,15,"-NYJ 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"5:00","no",1,10,"-MIN 26","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",1,"4:22","no",2,6,"-MIN 30","run","MIN"
"jets_at_vikings_2022_reg_13","New York Jets",1,"3:37","yes",1,10,"-MIN 38","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"2:56","no",1,10,"-MIN 43","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"2:21","no",2,2,"-NYJ 49","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"2:18","yes",3,2,"-NYJ 49","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"2:13","yes",4,2,"-NYJ 49","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"1:39","yes",1,10,"-NYJ 42","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,"1:34","no",1,10,"-NYJ 37","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,":49","no",2,6,"-NYJ 33","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",1,":20","yes",3,3,"-NYJ 30","pass","NYJ"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"15:00","yes",1,10,"-NYJ 24","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"14:25","yes",2,13,"-NYJ 27","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"13:33","yes",3,5,"-NYJ 19","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"13:06","no",1,4,"-NYJ 4","run","MIN"
"jets_at_vikings_2022_reg_13","New York Jets",2,"13:02","no",1,10,"-NYJ 25","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"12:26","yes",2,10,"-NYJ 25","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"11:48","no",1,10,"-NYJ 40","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"10:37","yes",3,13,"-NYJ 37","pass","NYJ"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"9:50","no",1,10,"-MIN 14","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"9:13","yes",2,7,"-MIN 17","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"8:43","yes",3,2,"-MIN 22","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"7:58","no",1,10,"-MIN 26","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"7:50","no",2,10,"-MIN 26","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"7:08","yes",3,9,"-MIN 27","run","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"6:23","yes",1,10,"-MIN 38","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"5:08","yes",1,15,"-NYJ 29","pass","MIN"
"jets_at_vikings_2022_reg_13","Minnesota Vikings",2,"4:49","no",2,12,"-NYJ 26","pass","MIN"
"jets_at_vikings_2022_reg_13","New York Jets",2,"3:39","no",1,10,"-NYJ 14","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"3:35","yes",1,10,"-NYJ 25","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"3:31","yes",2,10,"-NYJ 25","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"3:05","no",1,10,"-NYJ 35","run","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"2:24","no",2,7,"-NYJ 38","pass","NYJ"
"jets_at_vikings_2022_reg_13","New York Jets",2,"2:17","yes",3,7,"-NYJ 38","pass","NYJ"
