"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"15:00","yes",1,10,"-CHI 25","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"14:27","no",1,10,"-DET 47","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"13:46","no",2,1,"-DET 38","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"13:08","no",1,10,"-DET 25","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"12:35","yes",1,10,"-DET 15","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"11:58","no",2,4,"-DET 9","run","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"11:30","yes",2,14,"-DET 19","pass","CHI"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"11:24","yes",3,14,"-DET 19","run","CHI"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"10:39","yes",1,10,"-DET 25","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"10:36","no",2,10,"-DET 25","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"9:59","yes",3,5,"-DET 30","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"9:25","no",1,10,"-DET 35","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"9:21","yes",2,10,"-DET 35","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"8:39","yes",3,9,"-DET 36","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"8:01","no",1,10,"-DET 49","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"7:20","yes",2,6,"-CHI 47","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"6:46","no",1,10,"-CHI 38","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"6:06","yes",1,10,"-CHI 25","pass","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"5:20","no",1,10,"-CHI 13","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"4:44","yes",2,12,"-CHI 15","run","DET"
"lions_at_bears_2022_reg_10","Detroit Lions",1,"4:06","yes",3,10,"-CHI 13","pass","DET"
"lions_at_bears_2022_reg_10","Chicago Bears",1,"3:12","yes",1,10,"-CHI 49","pass","CHI"
