"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"15:00","no",1,10,"-DAL 25","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"14:52","no",2,10,"-DAL 25","run","DAL"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"13:26","no",1,10,"-DET 39","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"11:24","yes",3,7,"-DAL 47","run","DET"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"10:39","yes",1,10,"-DAL 20","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"10:16","yes",2,8,"-DAL 22","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"9:44","no",3,1,"-DAL 29","run","DAL"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"8:53","no",1,10,"-DET 30","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"8:20","yes",1,10,"-DET 42","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"7:46","no",2,11,"-DET 41","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"7:05","yes",1,10,"-DAL 48","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"6:34","yes",1,10,"-DAL 37","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"5:55","no",2,2,"-DAL 29","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"5:21","no",1,10,"-DAL 24","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"4:39","yes",2,11,"-DAL 25","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",1,"4:05","yes",3,7,"-DAL 21","pass","DET"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"3:58","no",1,10,"-DAL 25","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"3:19","yes",2,7,"-DAL 28","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"2:47","no",3,1,"-DAL 34","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"1:33","no",1,10,"-DET 49","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,"1:06","no",2,8,"-DET 47","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",1,":26","no",1,10,"-DET 23","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"15:00","yes",2,8,"-DET 21","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"14:32","no",1,10,"-DET 11","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"13:52","no",2,4,"-DET 5","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"13:09","no",3,2,"-DET 3","run","DAL"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"12:24","no",1,10,"-DET 25","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"11:46","yes",2,8,"-DET 27","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"11:08","no",1,10,"-DET 41","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"10:32","yes",2,6,"-DET 45","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"10:04","yes",1,10,"-DAL 31","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"9:28","no",2,4,"-DAL 25","pass","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"9:22","yes",3,4,"-DAL 25","run","DET"
"lions_at_cowboys_2022_reg_7","Detroit Lions",2,"8:50","yes",3,14,"-DAL 35","pass","DET"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"7:59","yes",1,15,"-DAL 20","run","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"7:21","no",2,13,"-DAL 22","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"7:00","yes",2,20,"-DAL 15","pass","DAL"
"lions_at_cowboys_2022_reg_7","Dallas Cowboys",2,"6:55","yes",3,20,"-DAL 15","pass","DAL"
