"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_giants_2022_reg_11","New York Giants",1,"14:54","no",1,10,"-NYG 23","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"14:14","yes",2,13,"-NYG 20","pass","NYG"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"12:58","no",1,10,"-DET 30","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"12:15","yes",1,10,"-DET 42","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"12:08","no",2,10,"-DET 42","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"11:37","yes",3,8,"-DET 44","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"11:33","no",1,10,"-NYG 41","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"10:59","yes",2,6,"-NYG 37","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"10:36","no",3,1,"-NYG 32","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"9:58","no",1,10,"-NYG 30","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"9:15","no",1,10,"-NYG 14","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"8:38","no",2,8,"-NYG 12","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"8:33","yes",3,8,"-NYG 12","pass","DET"
"lions_at_giants_2022_reg_11","New York Giants",1,"7:52","yes",1,10,"-NYG 25","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"7:22","no",1,10,"-NYG 42","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"6:56","yes",2,11,"-NYG 41","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"6:33","yes",3,4,"-NYG 48","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"5:54","no",4,1,"-DET 49","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"5:19","no",1,10,"-DET 44","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"4:51","yes",2,9,"-DET 43","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"4:21","yes",3,7,"-DET 41","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"3:38","no",1,10,"-DET 25","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"3:13","yes",1,7,"-DET 7","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",1,"2:46","yes",2,3,"-DET 3","run","NYG"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"2:33","yes",1,10,"-DET 29","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,"1:53","yes",2,13,"-DET 26","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,":40","no",1,10,"-DET 42","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",1,":35","no",2,10,"-DET 42","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"15:00","yes",3,9,"-DET 43","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"14:28","yes",3,19,"-DET 33","pass","DET"
"lions_at_giants_2022_reg_11","New York Giants",2,"14:13","no",1,10,"-NYG 28","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"13:44","yes",2,8,"-NYG 30","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"13:19","yes",1,10,"-NYG 39","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"12:44","yes",2,8,"-NYG 41","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"12:14","yes",2,18,"-NYG 31","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"11:41","yes",3,3,"-NYG 46","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"11:04","no",1,10,"-DET 47","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"10:22","no",2,6,"-DET 43","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"9:45","yes",3,3,"-DET 40","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"9:17","yes",3,8,"-DET 45","pass","NYG"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"9:00","no",1,10,"-DET 8","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"7:46","yes",3,1,"-DET 17","run","DET"
"lions_at_giants_2022_reg_11","New York Giants",2,"6:51","yes",1,10,"-NYG 27","run","NYG"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"6:09","yes",1,10,"-NYG 18","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"5:26","no",1,7,"-NYG 7","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"5:20","no",1,5,"-NYG 5","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"4:44","no",2,4,"-NYG 4","run","DET"
"lions_at_giants_2022_reg_11","New York Giants",2,"4:33","yes",1,10,"-NYG 6","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"4:08","yes",1,10,"-NYG 25","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"4:03","yes",2,10,"-NYG 25","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"3:41","no",1,10,"-NYG 38","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"3:09","no",2,6,"-NYG 42","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"2:32","yes",3,5,"-NYG 43","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"2:19","yes",1,10,"-DET 32","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"2:00","no",2,2,"-DET 40","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"1:53","no",1,10,"-NYG 28","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"1:19","yes",1,20,"-NYG 23","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"1:13","yes",2,6,"-NYG 9","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"1:07","yes",3,2,"-NYG 5","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":59","yes",1,1,"-NYG 1","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":44","yes",1,10,"-NYG 17","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":40","yes",2,10,"-NYG 17","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":36","yes",3,10,"-NYG 17","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":29","yes",1,10,"-NYG 36","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":11","yes",1,10,"-DET 49","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,":06","yes",2,15,"-NYG 46","pass","NYG"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"14:52","no",1,10,"-DET 44","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"14:47","no",2,10,"-DET 44","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"14:18","yes",3,9,"-DET 45","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"13:44","yes",1,10,"-NYG 42","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"13:05","yes",2,5,"-NYG 37","pass","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"12:21","no",1,10,"-NYG 31","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"11:45","no",1,10,"-NYG 21","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"11:00","no",1,5,"-NYG 5","run","DET"
"lions_at_giants_2022_reg_11","Detroit Lions",2,"10:14","no",2,1,"-NYG 1","run","DET"
"lions_at_giants_2022_reg_11","New York Giants",2,"10:10","no",1,10,"-NYG 25","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"9:46","no",2,10,"-NYG 25","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"9:18","yes",3,4,"-NYG 31","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"8:50","no",1,10,"-DET 45","pass","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"8:46","yes",2,10,"-DET 45","run","NYG"
"lions_at_giants_2022_reg_11","New York Giants",2,"8:17","yes",3,6,"-DET 41","run","NYG"
