"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"15:00","yes",1,10,"-DET 25","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"14:24","no",2,1,"-DET 34","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"13:48","no",1,10,"-DET 41","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"13:10","yes",2,6,"-DET 45","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"13:06","yes",3,6,"-DET 45","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"12:23","yes",1,10,"-NYJ 37","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"11:46","yes",2,10,"-NYJ 37","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"11:03","yes",3,3,"-NYJ 30","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"10:21","yes",1,10,"-NYJ 18","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"9:41","yes",2,4,"-NYJ 12","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"9:04","yes",1,7,"-NYJ 7","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"8:20","no",2,4,"-NYJ 4","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"7:38","no",3,2,"-NYJ 2","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"6:59","no",4,1,"-NYJ 1","run","DET"
"lions_at_jets_2022_reg_15","New York Jets",1,"6:55","no",1,10,"-NYJ 2","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"6:22","yes",2,11,"-NYJ 1","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"6:16","yes",3,11,"-NYJ 1","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"5:50","yes",1,10,"-NYJ 20","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"5:08","yes",2,11,"-NYJ 19","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"5:05","no",1,10,"-NYJ 31","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"4:24","yes",2,10,"-NYJ 31","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"3:59","yes",1,10,"-NYJ 44","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",1,"3:30","yes",2,2,"-DET 48","run","NYJ"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"1:59","no",1,10,"-DET 20","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"1:51","yes",2,10,"-DET 20","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,"1:10","no",1,10,"-DET 31","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,":32","yes",2,6,"-DET 35","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",1,":27","yes",3,6,"-DET 35","pass","DET"
"lions_at_jets_2022_reg_15","New York Jets",1,":15","no",1,10,"-NYJ 22","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"15:00","yes",2,5,"-NYJ 27","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"14:16","no",1,10,"-DET 40","pass","NYJ"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"14:06","no",1,10,"-DET 25","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"13:24","yes",2,6,"-DET 29","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"12:46","no",3,1,"-DET 34","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"12:11","no",1,10,"-DET 37","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"11:28","yes",1,10,"-NYJ 45","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"11:22","yes",2,10,"-NYJ 45","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"10:37","yes",3,7,"-NYJ 42","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"10:00","yes",4,3,"-NYJ 38","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"9:31","no",1,10,"-NYJ 26","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"8:51","no",1,10,"-NYJ 11","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"8:45","yes",1,17,"-NYJ 18","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"8:08","yes",2,10,"-NYJ 11","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"7:53","yes",2,17,"-NYJ 18","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"7:14","yes",3,12,"-NYJ 13","pass","DET"
"lions_at_jets_2022_reg_15","New York Jets",2,"7:01","no",1,10,"-NYJ 23","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"6:17","yes",1,10,"-NYJ 44","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"5:34","no",2,6,"-NYJ 48","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"4:50","yes",3,1,"-DET 47","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"4:08","yes",1,10,"-DET 44","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"3:25","yes",2,5,"-DET 39","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"2:41","no",3,2,"-DET 36","run","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"2:03","yes",1,10,"-DET 33","pass","NYJ"
"lions_at_jets_2022_reg_15","Detroit Lions",2,"1:03","yes",1,10,"-DET 20","run","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,":45","yes",1,10,"-DET 36","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,":41","yes",2,10,"-DET 36","pass","DET"
"lions_at_jets_2022_reg_15","Detroit Lions",2,":37","yes",3,10,"-DET 36","pass","DET"
"lions_at_jets_2022_reg_15","New York Jets",2,":25","yes",1,10,"-NYJ 19","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,":16","yes",1,10,"-DET 31","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,":12","yes",1,10,"-DET 16","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,":08","yes",2,10,"-DET 16","pass","NYJ"
"lions_at_jets_2022_reg_15","New York Jets",2,"14:56","no",1,10,"-NYJ 24","pass","NYJ"
