"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"14:55","no",1,10,"-CAR 22","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"13:51","yes",1,15,"-CAR 47","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"13:22","yes",1,10,"-DET 18","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"12:45","no",2,5,"-DET 13","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"12:02","yes",1,7,"-DET 7","run","CAR"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"11:57","no",1,10,"-DET 40","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"11:50","yes",2,10,"-DET 40","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"11:46","yes",3,10,"-DET 40","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"11:19","yes",1,10,"-CAR 21","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"10:44","yes",2,6,"-CAR 17","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"9:59","yes",3,6,"-CAR 17","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"9:17","no",1,4,"-CAR 4","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"8:43","no",2,3,"-CAR 3","pass","DET"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"8:38","no",1,10,"-CAR 25","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"7:43","yes",1,15,"-CAR 41","run","CAR"
"lions_at_panthers_2022_reg_16","Carolina Panthers",1,"6:59","yes",2,16,"-CAR 40","pass","CAR"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"6:07","no",1,10,"-DET 9","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"5:31","yes",2,7,"-DET 12","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"4:55","yes",1,10,"-DET 34","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"4:20","no",2,7,"-DET 37","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"3:43","no",1,10,"-DET 48","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"3:02","no",1,10,"-CAR 33","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"2:25","yes",2,11,"-CAR 34","pass","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"2:20","no",1,10,"-CAR 31","run","DET"
"lions_at_panthers_2022_reg_16","Detroit Lions",1,"1:43","yes",2,14,"-CAR 35","pass","DET"
