"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"15:00","no",1,10,"-DET 25","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"14:22","no",2,7,"-DET 28","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"13:44","yes",3,2,"-DET 33","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"13:13","no",1,10,"-DET 36","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"12:34","yes",2,6,"-DET 40","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"11:53","yes",3,6,"-DET 40","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"11:18","no",4,1,"-DET 45","run","DET"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"11:09","no",1,10,"-DET 45","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"9:54","no",1,10,"-DET 21","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"9:35","yes",2,9,"-DET 20","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"8:57","yes",3,8,"-DET 19","pass","NE"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"8:47","no",1,10,"-DET 25","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"8:01","no",1,10,"-DET 47","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"7:23","no",2,8,"-DET 49","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"6:58","yes",1,10,"-NE 32","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"6:19","yes",2,7,"-NE 29","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",1,"5:38","no",1,10,"-NE 18","pass","DET"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"5:32","no",1,10,"-NE 3","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"4:56","no",2,6,"-NE 7","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"4:20","yes",3,5,"-NE 8","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"3:48","no",1,10,"-NE 20","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"3:04","no",1,10,"-DET 31","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"2:02","yes",2,14,"-DET 35","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,"1:27","yes",3,4,"-DET 25","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,":48","yes",1,10,"-DET 21","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",1,":10","no",2,1,"-DET 12","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"15:00","yes",3,1,"-DET 12","run","NE"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"14:05","no",1,10,"-DET 47","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"13:42","no",1,10,"-NE 44","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"13:09","no",2,5,"-NE 39","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"12:31","no",3,1,"-NE 35","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"11:55","no",1,10,"-NE 34","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"11:49","yes",2,10,"-NE 34","run","DET"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"10:03","no",1,10,"-NE 13","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"9:21","no",1,10,"-NE 30","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"7:40","yes",2,14,"-NE 36","pass","NE"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"6:59","no",2,6,"-NE 46","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"6:35","yes",2,13,"-DET 47","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"6:30","yes",3,13,"-DET 47","pass","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"5:53","no",1,10,"-NE 33","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"5:17","no",2,7,"-NE 30","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"4:27","yes",3,2,"-NE 25","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"3:26","no",1,10,"-DET 25","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"2:48","no",2,8,"-DET 27","run","DET"
"lions_at_patriots_2022_reg_5","Detroit Lions",2,"2:04","yes",3,5,"-DET 30","pass","DET"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"1:46","yes",1,10,"-NE 13","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"1:38","yes",1,10,"-NE 28","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,"1:14","yes",1,10,"-NE 39","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,":47","yes",1,10,"-DET 39","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,":36","yes",1,10,"-DET 24","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",2,":27","yes",1,20,"-DET 34","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"15:00","no",1,10,"-NE 25","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"14:55","yes",2,10,"-NE 25","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"14:21","no",1,10,"-NE 36","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"13:42","yes",2,11,"-NE 35","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"13:35","yes",1,10,"-DET 40","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"13:00","yes",2,6,"-DET 36","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"12:22","yes",1,10,"-DET 19","run","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"11:45","no",2,10,"-DET 19","pass","NE"
"lions_at_patriots_2022_reg_5","New England Patriots",3,"10:54","yes",3,11,"-DET 20","pass","NE"
"lions_at_patriots_2022_reg_5","Detroit Lions",3,"10:09","no",1,10,"-DET 25","pass","DET"
