"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"14:56","no",1,10,"-DET 20","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"14:17","no",2,4,"-DET 26","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"13:38","no",1,10,"-DET 49","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"13:04","no",1,10,"-MIN 34","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"12:33","no",2,10,"-MIN 34","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"11:51","yes",3,12,"-MIN 36","pass","DET"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"11:03","no",1,10,"-MIN 38","run","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"10:29","no",2,3,"-MIN 45","run","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"9:38","no",1,10,"-DET 38","pass","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"9:34","yes",2,10,"-DET 38","pass","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"9:30","yes",3,10,"-DET 38","pass","MIN"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"9:20","no",1,10,"-DET 46","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"8:42","no",1,10,"-MIN 37","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"7:59","no",2,7,"-MIN 34","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"7:16","yes",3,5,"-MIN 32","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"7:12","yes",4,5,"-MIN 32","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"6:49","no",1,2,"-MIN 2","run","DET"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"6:40","no",1,10,"-MIN 19","run","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"6:10","no",2,1,"-MIN 28","run","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"5:44","yes",1,10,"-MIN 30","run","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"5:05","yes",2,10,"-MIN 30","pass","MIN"
"lions_at_vikings_2022_reg_3","Minnesota Vikings",1,"4:25","yes",3,5,"-MIN 35","pass","MIN"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"4:06","no",1,10,"-DET 30","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"3:34","no",2,6,"-DET 34","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"2:56","yes",1,10,"-DET 46","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"2:51","yes",2,10,"-DET 46","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"1:53","no",4,1,"-MIN 45","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"1:18","yes",1,10,"-MIN 40","pass","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,"1:14","no",2,10,"-MIN 40","run","DET"
"lions_at_vikings_2022_reg_3","Detroit Lions",1,":34","yes",3,5,"-MIN 35","pass","DET"
