"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"15:00","yes",1,10,"-CHI 25","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"14:27","no",2,9,"-CHI 26","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"13:58","no",3,1,"-CHI 34","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"13:31","yes",1,10,"-CHI 37","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"12:54","no",1,10,"-GB 39","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"12:49","yes",2,10,"-GB 39","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"12:11","no",3,1,"-GB 30","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"11:27","no",1,10,"-GB 29","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"10:52","yes",2,9,"-GB 28","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"10:12","yes",3,9,"-GB 28","run","CHI"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"9:17","yes",1,10,"-GB 18","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"9:13","no",2,10,"-GB 18","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"8:34","no",3,1,"-GB 27","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"7:52","yes",1,10,"-GB 29","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"7:06","no",2,5,"-GB 34","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"6:22","yes",3,12,"-GB 27","pass","GB"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"5:39","yes",1,10,"-CHI 30","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"5:01","yes",2,7,"-CHI 33","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"4:25","yes",3,5,"-CHI 35","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"3:47","no",1,10,"-CHI 45","run","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",1,"3:10","yes",2,10,"-CHI 45","run","CHI"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"2:54","no",1,10,"-GB 30","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"2:46","yes",2,10,"-GB 30","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,"1:02","yes",2,5,"-CHI 45","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",1,":17","yes",1,10,"-CHI 35","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"15:00","yes",2,9,"-CHI 34","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"14:15","no",3,1,"-CHI 26","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"13:32","no",1,10,"-CHI 24","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"12:52","yes",2,3,"-CHI 17","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"12:04","yes",1,10,"-CHI 11","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"11:18","yes",2,11,"-CHI 12","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"10:34","yes",3,5,"-CHI 6","pass","GB"
"packers_at_bears_2022_reg_13","Chicago Bears",2,"10:16","yes",1,10,"-CHI 26","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",2,"9:45","no",2,5,"-CHI 31","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",2,"9:44","yes",3,5,"-CHI 31","pass","CHI"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"8:51","no",1,10,"-GB 40","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"8:10","no",1,10,"-CHI 39","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"7:26","no",2,7,"-CHI 36","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"7:17","yes",3,7,"-CHI 36","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"7:13","yes",4,7,"-CHI 36","pass","GB"
"packers_at_bears_2022_reg_13","Chicago Bears",2,"7:06","yes",1,10,"-CHI 37","pass","CHI"
"packers_at_bears_2022_reg_13","Chicago Bears",2,"6:15","yes",1,7,"-GB 7","run","CHI"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"6:09","no",1,10,"-GB 25","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"6:02","yes",2,10,"-GB 25","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"5:21","yes",3,8,"-GB 27","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"4:41","no",1,10,"-GB 38","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"4:01","no",1,10,"-CHI 46","run","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"3:20","yes",2,6,"-CHI 42","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"2:38","yes",3,4,"-CHI 40","pass","GB"
"packers_at_bears_2022_reg_13","Green Bay Packers",2,"2:00","yes",1,10,"-CHI 33","pass","GB"
