"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"15:00","yes",1,10,"-BUF 25","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"14:24","yes",2,4,"-BUF 31","pass","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"14:18","yes",3,4,"-BUF 31","pass","BUF"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"14:02","no",1,10,"-GB 28","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"13:20","yes",2,8,"-GB 30","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"12:40","yes",3,2,"-GB 36","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"12:05","yes",1,10,"-GB 39","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"11:22","yes",2,1,"-GB 48","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"10:49","no",1,10,"-BUF 45","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"8:51","yes",4,3,"-BUF 38","pass","GB"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"8:47","no",1,10,"-BUF 39","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"8:08","no",2,1,"-BUF 48","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"7:28","yes",1,10,"-GB 47","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"6:49","no",1,10,"-GB 17","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"6:09","yes",2,9,"-GB 16","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"5:18","yes",3,14,"-GB 21","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"4:27","yes",1,1,"-GB 1","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,"3:40","no",2,1,"-GB 1","pass","BUF"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"3:27","no",1,10,"-GB 20","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"3:19","yes",2,10,"-GB 20","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",1,"2:38","yes",3,7,"-GB 23","pass","GB"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,":58","no",2,10,"-BUF 49","pass","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",1,":22","yes",1,10,"-GB 35","pass","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"15:00","yes",2,1,"-GB 26","pass","BUF"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"14:47","no",1,10,"-GB 20","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"14:12","yes",2,3,"-GB 27","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"13:33","yes",1,10,"-GB 34","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"12:48","no",2,5,"-GB 39","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"12:05","no",3,1,"-GB 43","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"11:27","no",1,10,"-GB 46","pass","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"10:46","no",2,3,"-BUF 47","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"10:03","yes",3,1,"-BUF 45","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"8:46","no",1,10,"-BUF 39","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"8:04","no",2,1,"-BUF 30","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"7:01","yes",1,15,"-BUF 22","run","GB"
"packers_at_bills_2022_reg_8","Green Bay Packers",2,"6:21","yes",2,12,"-BUF 19","pass","GB"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"6:10","no",1,10,"-BUF 20","pass","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"5:29","no",2,1,"-BUF 29","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"4:50","yes",1,10,"-BUF 46","run","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"3:49","yes",1,10,"-GB 28","pass","BUF"
"packers_at_bills_2022_reg_8","Buffalo Bills",2,"3:05","yes",2,3,"-GB 21","pass","BUF"
