"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"15:00","no",1,10,"-TB 25","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"14:21","yes",1,10,"-TB 49","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"13:48","no",2,5,"-GB 46","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"13:16","no",3,1,"-GB 42","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"12:36","yes",4,1,"-GB 42","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"11:57","no",1,10,"-GB 38","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"11:21","yes",1,10,"-GB 26","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"10:37","no",2,4,"-GB 20","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"9:05","yes",1,10,"-GB 25","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"8:28","yes",2,7,"-GB 28","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"8:01","yes",1,10,"-GB 38","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"7:24","yes",2,2,"-GB 46","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"6:37","yes",1,10,"-TB 33","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"5:59","no",2,6,"-TB 29","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"5:17","yes",3,6,"-TB 29","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"4:33","yes",1,10,"-TB 12","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"3:47","yes",2,12,"-TB 14","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,"3:07","yes",3,3,"-TB 5","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"2:56","yes",1,10,"-TB 23","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"2:35","yes",1,20,"-TB 13","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"2:00","yes",2,20,"-TB 13","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",1,"1:21","yes",3,12,"-TB 21","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",1,":33","no",1,10,"-GB 29","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"15:00","yes",2,7,"-GB 32","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"14:12","yes",3,8,"-GB 31","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"13:32","no",1,10,"-GB 40","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"12:50","yes",2,1,"-GB 49","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"12:09","yes",1,10,"-TB 48","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"12:06","yes",2,10,"-TB 48","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"11:50","yes",3,7,"-TB 45","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"11:08","no",1,10,"-TB 38","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"10:21","no",2,8,"-TB 36","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"9:38","no",3,1,"-TB 29","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"8:47","yes",1,6,"-TB 6","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"8:44","yes",1,10,"-TB 25","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"7:53","yes",2,12,"-TB 23","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"5:57","yes",1,10,"-GB 38","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"5:08","no",1,10,"-TB 22","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"4:22","no",2,4,"-TB 16","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"3:37","yes",1,9,"-TB 9","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,"2:53","yes",2,7,"-TB 7","run","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"2:02","yes",1,10,"-TB 20","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"1:59","yes",1,10,"-TB 25","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"1:42","yes",2,5,"-TB 30","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"1:38","yes",1,10,"-TB 36","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,"1:17","yes",1,10,"-TB 48","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,":56","yes",1,10,"-GB 40","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,":41","yes",1,10,"-GB 27","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,":23","yes",2,2,"-GB 35","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",2,":19","yes",3,2,"-GB 35","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",2,":06","no",1,10,"-TB 13","run","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"15:00","no",1,10,"-GB 25","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"14:28","yes",1,12,"-GB 23","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"13:45","yes",2,9,"-GB 26","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"13:03","yes",3,3,"-GB 32","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"12:46","yes",1,10,"-TB 21","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"12:20","yes",2,4,"-TB 27","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"12:00","no",3,1,"-TB 30","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"11:35","yes",1,10,"-TB 33","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"11:31","yes",1,10,"-TB 46","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"11:25","yes",2,10,"-TB 46","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"10:53","yes",2,7,"-TB 47","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"10:12","yes",3,4,"-TB 44","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"10:00","yes",1,10,"-TB 2","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"9:58","yes",2,10,"-TB 2","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"9:54","yes",3,10,"-TB 2","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"9:26","yes",1,10,"-GB 35","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"8:42","yes",2,8,"-GB 37","run","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"7:52","no",1,10,"-GB 47","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"7:12","no",1,10,"-GB 28","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"7:08","yes",2,10,"-GB 28","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"6:32","yes",3,9,"-GB 27","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"6:22","yes",1,10,"-GB 25","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"5:45","yes",1,10,"-GB 40","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"4:59","yes",2,11,"-GB 39","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,"4:17","yes",3,7,"-GB 43","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"2:58","yes",2,5,"-TB 16","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"2:33","yes",1,10,"-TB 23","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"1:51","yes",2,13,"-TB 20","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,"1:08","yes",3,3,"-TB 30","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",3,":47","yes",3,13,"-TB 20","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",3,":35","no",1,10,"-GB 44","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"15:00","yes",2,8,"-GB 46","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"14:12","yes",3,2,"-TB 48","run","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"13:17","no",1,10,"-TB 14","run","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"12:44","yes",2,10,"-TB 14","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"12:06","yes",3,7,"-TB 17","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"11:18","no",1,10,"-GB 20","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"10:52","yes",1,18,"-GB 12","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"10:22","yes",2,12,"-GB 18","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"9:36","yes",3,5,"-GB 25","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"8:40","no",1,10,"-TB 25","pass","TB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"6:50","yes",3,30,"-TB 30","pass","TB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"5:57","yes",1,10,"-GB 14","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"5:50","yes",2,10,"-GB 14","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"5:04","yes",3,4,"-GB 20","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"4:20","yes",1,10,"-GB 26","run","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"3:35","yes",2,4,"-GB 32","pass","GB"
"packers_at_buccaneers_2022_reg_3","Green Bay Packers",4,"3:24","no",2,10,"-TB 42","pass","GB"
"packers_at_buccaneers_2022_reg_3","Tampa Bay Buccaneers",4,"3:04","yes",1,10,"-TB 11","pass","TB"
