"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"15:00","yes",1,10,"-GB 25","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"14:23","yes",2,2,"-GB 33","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"13:45","yes",1,10,"-GB 36","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"13:00","no",2,6,"-GB 40","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"12:18","yes",3,4,"-GB 42","pass","GB"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"12:06","yes",1,10,"-WAS 3","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"11:26","yes",3,7,"-WAS 6","pass","WAS"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"11:00","yes",1,10,"-WAS 42","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"10:11","yes",2,4,"-WAS 36","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"9:36","no",1,10,"-WAS 25","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"8:50","no",2,7,"-WAS 22","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"8:08","yes",1,10,"-WAS 15","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"7:29","yes",1,3,"-WAS 3","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"6:45","no",2,4,"-WAS 4","pass","GB"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"6:33","yes",1,10,"-WAS 30","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"5:54","no",2,5,"-WAS 35","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"5:09","yes",3,3,"-WAS 37","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"4:55","no",1,10,"-GB 17","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"4:20","yes",2,6,"-GB 13","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"3:39","no",1,5,"-GB 5","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"2:50","no",2,6,"-GB 6","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,"2:10","yes",3,3,"-GB 3","pass","WAS"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"2:04","no",1,10,"-GB 25","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"1:56","yes",1,20,"-GB 15","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"1:13","yes",2,13,"-GB 22","pass","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",1,"1:10","yes",3,13,"-GB 22","pass","GB"
"packers_at_commanders_2022_reg_7","Washington Commanders",1,":24","yes",1,10,"-WAS 36","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"15:00","yes",2,6,"-WAS 40","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"14:23","no",1,10,"-GB 46","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"14:18","yes",2,10,"-GB 46","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"13:23","yes",1,10,"-WAS 17","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"12:39","yes",2,8,"-WAS 19","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"11:53","yes",3,1,"-WAS 26","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"11:09","yes",1,10,"-WAS 30","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"11:05","no",2,10,"-WAS 30","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"9:48","yes",2,7,"-GB 47","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"9:13","yes",3,1,"-GB 41","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"8:08","no",1,10,"-GB 11","run","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"7:30","yes",2,8,"-GB 9","pass","WAS"
"packers_at_commanders_2022_reg_7","Washington Commanders",2,"7:26","yes",3,8,"-GB 9","pass","WAS"
"packers_at_commanders_2022_reg_7","Green Bay Packers",2,"7:21","yes",1,10,"-GB 25","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",2,"6:37","yes",2,16,"-GB 19","run","GB"
"packers_at_commanders_2022_reg_7","Green Bay Packers",2,"6:06","yes",2,25,"-GB 10","pass","GB"
