"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"15:00","yes",1,10,"-PHI 25","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"14:56","yes",2,10,"-PHI 25","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"14:50","yes",3,10,"-PHI 25","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"14:18","yes",1,10,"-PHI 49","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"13:43","yes",2,5,"-GB 46","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"13:18","yes",1,10,"-GB 38","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"12:46","yes",2,4,"-GB 32","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"12:09","yes",3,6,"-GB 34","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"11:44","yes",1,6,"-GB 6","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"11:25","yes",2,4,"-GB 4","run","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"11:16","no",1,10,"-GB 9","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"11:11","yes",2,10,"-GB 9","run","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"10:23","yes",1,10,"-GB 29","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"9:43","yes",2,4,"-GB 23","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"9:08","yes",1,10,"-GB 15","run","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"8:51","yes",1,10,"-GB 41","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"8:13","yes",1,10,"-PHI 49","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"6:51","no",1,10,"-PHI 20","run","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"6:34","yes",1,10,"-PHI 28","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"6:08","yes",2,3,"-PHI 35","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"5:30","no",3,1,"-PHI 37","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"5:06","no",4,1,"-PHI 37","run","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"5:00","yes",1,10,"-PHI 37","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"4:25","yes",2,8,"-PHI 35","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"4:22","yes",3,8,"-PHI 35","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",1,"3:16","no",1,10,"-PHI 11","pass","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"3:09","yes",1,10,"-PHI 25","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"2:32","yes",2,11,"-PHI 24","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"2:02","yes",1,10,"-PHI 47","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,"1:35","yes",2,6,"-GB 49","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,":53","no",3,2,"-GB 45","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",1,":13","yes",1,3,"-GB 3","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"15:00","yes",2,2,"-GB 2","run","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"14:54","no",1,10,"-GB 25","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"14:10","no",2,6,"-GB 29","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"13:26","no",1,10,"-GB 41","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"12:42","yes",1,10,"-PHI 42","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"12:04","yes",2,4,"-PHI 36","pass","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"11:12","yes",1,10,"-PHI 22","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"10:42","yes",1,10,"-PHI 39","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"10:06","yes",2,5,"-PHI 44","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"9:43","yes",1,10,"-GB 24","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"9:02","yes",2,8,"-GB 22","pass","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"8:38","no",1,10,"-PHI 13","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"8:32","yes",1,17,"-PHI 20","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"7:50","yes",2,20,"-PHI 23","pass","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"7:37","yes",1,10,"-PHI 28","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"6:02","yes",3,8,"-PHI 30","pass","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"5:48","yes",1,10,"-GB 18","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"5:08","yes",2,1,"-GB 27","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"3:46","yes",2,13,"-GB 30","pass","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"2:16","yes",1,10,"-PHI 29","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"2:00","yes",2,6,"-PHI 33","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"1:56","yes",3,6,"-PHI 33","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"1:21","yes",1,10,"-GB 48","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"1:10","yes",3,14,"-PHI 48","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,":54","no",4,1,"-GB 39","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,":24","yes",1,10,"-GB 30","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,":19","yes",2,10,"-GB 30","pass","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,":13","no",1,10,"-GB 25","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"14:51","no",1,10,"-GB 47","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"14:09","yes",2,8,"-GB 49","run","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"12:42","yes",1,10,"-PHI 14","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"12:38","yes",2,10,"-PHI 14","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"11:59","yes",1,10,"-PHI 35","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"11:23","yes",2,2,"-PHI 43","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"10:54","yes",1,10,"-GB 29","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"10:19","yes",2,2,"-GB 21","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"9:46","yes",1,10,"-GB 17","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"9:03","yes",2,12,"-GB 19","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"8:58","yes",3,12,"-GB 19","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"8:26","yes",1,5,"-GB 5","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"7:23","yes",2,6,"-GB 6","pass","PHI"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"7:15","no",1,10,"-GB 25","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"6:51","no",1,10,"-PHI 49","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"6:12","yes",2,9,"-PHI 48","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"5:36","no",1,10,"-PHI 38","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"5:10","yes",1,10,"-PHI 31","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"4:24","yes",2,3,"-PHI 24","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"3:44","yes",1,10,"-PHI 13","pass","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"3:41","no",2,10,"-PHI 13","run","GB"
"packers_at_eagles_2022_reg_12","Green Bay Packers",2,"2:58","yes",3,4,"-PHI 7","run","GB"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"1:58","yes",1,10,"-PHI 26","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,"1:31","yes",2,4,"-PHI 32","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,":44","yes",1,10,"-PHI 41","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",2,":08","yes",2,4,"-PHI 47","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",3,"15:00","yes",3,4,"-PHI 47","run","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",3,"14:25","yes",1,10,"-GB 43","pass","PHI"
"packers_at_eagles_2022_reg_12","Philadelphia Eagles",3,"14:22","yes",2,10,"-GB 43","run","PHI"
