"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"14:54","no",1,10,"-DET 38","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"14:20","yes",2,6,"-DET 42","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"13:43","yes",1,10,"-GB 47","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"13:11","no",2,1,"-GB 38","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"12:37","no",1,10,"-GB 36","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"12:18","no",1,10,"-GB 16","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"11:44","no",2,3,"-GB 9","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"11:39","yes",3,3,"-GB 9","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"10:55","yes",4,1,"-GB 7","pass","DET"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"10:51","no",1,10,"-GB 7","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"10:06","no",1,10,"-GB 25","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"10:00","yes",2,10,"-GB 25","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"9:56","yes",3,10,"-GB 25","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"9:10","no",1,10,"-GB 41","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"7:45","no",1,10,"-DET 48","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"7:11","yes",2,1,"-DET 39","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"6:30","yes",1,10,"-DET 33","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"5:55","yes",2,3,"-DET 26","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"5:11","no",3,1,"-DET 24","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"4:25","yes",1,5,"-DET 5","pass","GB"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"4:19","no",1,10,"-DET 20","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"4:00","no",2,7,"-DET 23","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"3:43","yes",2,17,"-DET 13","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",1,"3:37","yes",3,17,"-DET 13","pass","DET"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"3:22","no",1,10,"-DET 48","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"2:38","no",2,7,"-DET 45","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"2:31","yes",2,17,"-GB 45","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"1:48","yes",3,10,"-DET 48","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,"1:22","no",1,1,"-DET 1","run","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,":42","yes",2,1,"-DET 1","pass","GB"
"packers_at_lions_2022_reg_9","Green Bay Packers",1,":39","yes",3,1,"-DET 1","run","GB"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"14:56","no",1,10,"-DET 20","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"14:20","no",2,8,"-DET 22","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"13:27","yes",3,9,"-DET 21","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"12:45","no",1,10,"-DET 30","pass","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"12:19","no",1,10,"-DET 45","run","DET"
"packers_at_lions_2022_reg_9","Detroit Lions",2,"11:22","yes",2,12,"-DET 43","pass","DET"
