"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"14:54","no",1,10,"-MIN 22","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"14:17","no",1,10,"-MIN 34","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"13:38","yes",2,10,"-MIN 34","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"12:56","yes",3,5,"-MIN 39","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"12:18","no",1,10,"-GB 41","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"11:35","yes",2,5,"-GB 36","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"10:55","yes",1,10,"-GB 14","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"10:50","yes",2,10,"-GB 14","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"10:04","yes",3,8,"-GB 12","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"9:21","no",4,1,"-GB 5","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"9:17","yes",1,10,"-GB 25","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"9:10","yes",2,10,"-GB 25","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"8:24","yes",1,10,"-GB 35","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"8:20","no",2,10,"-GB 35","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"7:40","yes",3,7,"-GB 38","pass","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"7:28","yes",1,10,"-MIN 15","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"7:04","no",2,10,"-MIN 15","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"5:27","no",1,10,"-GB 46","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"4:03","yes",3,4,"-MIN 48","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"3:25","no",1,10,"-MIN 42","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",1,"2:47","yes",2,8,"-MIN 40","pass","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"1:52","no",1,10,"-MIN 15","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,"1:13","yes",2,4,"-MIN 21","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",1,":30","no",1,10,"-MIN 27","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"15:00","no",2,7,"-MIN 30","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"14:21","yes",3,2,"-MIN 35","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"14:11","yes",1,10,"-GB 20","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"13:39","no",1,10,"-GB 43","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"12:56","yes",2,7,"-GB 46","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"12:08","no",1,10,"-MIN 32","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"11:22","no",1,10,"-MIN 20","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"10:48","yes",2,3,"-MIN 13","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"10:10","no",1,9,"-MIN 9","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"9:24","yes",2,7,"-MIN 7","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"8:39","yes",3,7,"-MIN 7","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"8:03","yes",4,1,"-MIN 1","run","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"7:58","no",1,10,"-MIN 1","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"7:14","no",2,6,"-MIN 5","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"6:30","yes",1,10,"-MIN 11","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"5:54","no",1,10,"-MIN 23","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"5:27","yes",1,10,"-GB 13","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"4:47","no",2,3,"-GB 6","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"4:02","yes",3,2,"-GB 5","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:54","no",1,10,"-GB 25","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:48","yes",2,10,"-GB 25","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:15","yes",3,7,"-GB 28","pass","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:58","no",1,10,"-MIN 26","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:38","no",2,1,"-MIN 35","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:33","no",3,1,"-MIN 35","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:00","yes",1,10,"-MIN 37","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"1:22","yes",2,1,"-MIN 46","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,":50","yes",1,10,"-GB 47","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,":45","no",1,10,"-GB 36","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,":27","yes",1,10,"-MIN 30","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,":18","yes",3,9,"-MIN 31","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":06","no",1,10,"-GB 16","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"14:56","yes",1,10,"-GB 18","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"14:13","yes",2,8,"-GB 20","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"13:44","yes",3,1,"-GB 27","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"13:08","yes",1,10,"-GB 30","run","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"12:06","no",1,10,"-GB 33","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"11:23","yes",2,10,"-GB 33","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"10:45","yes",3,5,"-GB 28","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"10:39","yes",3,15,"-GB 38","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"9:46","yes",1,10,"-GB 25","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"9:06","yes",2,6,"-GB 29","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"8:20","yes",1,10,"-MIN 42","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"7:38","yes",2,1,"-MIN 33","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"6:53","yes",1,10,"-MIN 22","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"6:10","yes",1,10,"-MIN 11","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"5:21","yes",2,1,"-MIN 2","run","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"5:16","no",1,10,"-MIN 25","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"4:26","yes",2,5,"-MIN 30","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"3:47","no",1,10,"-MIN 37","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:45","yes",2,16,"-MIN 31","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:07","yes",3,6,"-MIN 41","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"1:13","yes",1,10,"-GB 17","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":33","no",2,1,"-GB 26","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"14:14","yes",2,19,"-GB 22","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"13:35","yes",1,10,"-GB 45","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"12:54","no",2,7,"-GB 48","pass","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"11:52","yes",1,10,"-MIN 16","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"11:15","no",1,10,"-MIN 38","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"11:09","yes",2,10,"-MIN 38","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"10:42","yes",3,7,"-MIN 41","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"10:11","yes",1,10,"-GB 38","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"9:30","yes",2,6,"-GB 34","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"8:52","no",1,10,"-GB 27","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"7:45","no",1,10,"-GB 10","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"7:03","no",2,10,"-GB 10","pass","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"6:58","yes",3,10,"-GB 10","pass","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"6:48","yes",1,10,"-GB 25","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"6:17","yes",2,5,"-GB 30","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"5:52","yes",1,10,"-GB 38","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"5:10","yes",2,2,"-GB 46","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"4:36","yes",1,10,"-MIN 49","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"4:30","yes",2,10,"-MIN 49","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"4:08","no",3,5,"-MIN 44","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"4:01","yes",1,10,"-MIN 27","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:57","yes",2,10,"-MIN 27","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:52","yes",3,1,"-MIN 18","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"3:50","yes",4,1,"-MIN 18","pass","GB"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"3:45","no",1,10,"-MIN 18","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"3:37","no",1,10,"-MIN 34","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"3:32","no",2,4,"-MIN 40","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"3:28","no",3,1,"-MIN 43","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:44","no",1,10,"-MIN 49","run","MIN"
"packers_at_vikings_2022_reg_1","Minnesota Vikings",2,"2:00","no",2,11,"-MIN 48","run","MIN"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,"1:02","yes",1,10,"-GB 8","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":39","yes",1,10,"-GB 20","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":17","yes",1,10,"-GB 35","pass","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":02","no",1,10,"-GB 48","run","GB"
"packers_at_vikings_2022_reg_1","Green Bay Packers",2,":01","yes",2,10,"-GB 48","pass","GB"
