"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"14:54","yes",1,10,"-CIN 10","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"14:18","yes",2,5,"-CIN 15","run","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"13:41","yes",3,2,"-CIN 18","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"13:07","yes",1,10,"-CIN 23","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"12:24","yes",2,1,"-CIN 32","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"11:57","yes",1,10,"-CIN 47","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"11:12","no",1,10,"-CAR 18","run","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"10:27","yes",2,1,"-CAR 9","run","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"9:45","yes",1,2,"-CAR 2","run","CIN"
"panthers_at_bengals_2022_reg_9","Carolina Panthers",1,"9:42","no",1,10,"-CAR 25","run","CAR"
"panthers_at_bengals_2022_reg_9","Carolina Panthers",1,"9:09","no",2,7,"-CAR 28","run","CAR"
"panthers_at_bengals_2022_reg_9","Carolina Panthers",1,"8:26","yes",3,5,"-CAR 30","pass","CAR"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"7:37","yes",1,10,"-CIN 30","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"7:33","yes",2,10,"-CIN 30","pass","CIN"
"panthers_at_bengals_2022_reg_9","Cincinnati Bengals",1,"6:51","yes",3,4,"-CIN 36","pass","CIN"
"panthers_at_bengals_2022_reg_9","Carolina Panthers",1,"6:37","no",1,10,"-CAR 26","pass","CAR"
