"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"15:00","no",1,10,"-CAR 25","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"14:35","yes",1,10,"-TB 49","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"13:53","no",1,10,"-TB 38","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"13:12","yes",2,6,"-TB 34","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"12:32","no",1,10,"-TB 28","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"11:48","yes",2,5,"-TB 23","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"11:44","no",1,10,"-TB 17","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"11:39","no",1,10,"-TB 25","pass","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"11:34","yes",1,10,"-TB 30","run","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"10:52","no",2,3,"-TB 37","run","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"10:23","no",1,10,"-TB 42","pass","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"10:05","yes",1,20,"-TB 32","pass","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"9:58","yes",2,20,"-TB 32","pass","TB"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"9:06","no",1,10,"-CAR 33","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"8:27","yes",2,8,"-CAR 35","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"8:04","yes",3,1,"-CAR 42","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"7:05","no",1,10,"-TB 17","pass","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"6:25","no",1,10,"-TB 38","run","TB"
"panthers_at_buccaneers_2022_reg_17","Tampa Bay Buccaneers",1,"5:49","yes",2,6,"-TB 42","run","TB"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"4:23","no",1,10,"-CAR 24","pass","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"4:16","yes",2,10,"-CAR 24","run","CAR"
"panthers_at_buccaneers_2022_reg_17","Carolina Panthers",1,"3:31","yes",3,10,"-CAR 24","pass","CAR"
