"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"15:00","yes",1,10,"-ATL 25","pass","ATL"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"14:46","no",1,10,"-CAR 20","run","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"14:14","yes",2,3,"-CAR 27","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"13:30","yes",3,4,"-CAR 26","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"13:26","no",1,10,"-CAR 41","run","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"12:46","no",2,7,"-CAR 44","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"12:41","yes",3,7,"-CAR 44","pass","CAR"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"12:28","yes",1,10,"-ATL 12","run","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"11:47","yes",1,10,"-ATL 25","run","ATL"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"9:23","yes",1,10,"-ATL 37","run","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"8:52","no",2,1,"-ATL 28","run","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"8:18","yes",1,10,"-ATL 24","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"8:14","yes",2,10,"-ATL 24","run","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"7:34","yes",3,12,"-ATL 26","run","CAR"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"6:43","no",1,10,"-ATL 8","run","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"6:01","yes",2,7,"-ATL 11","pass","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"5:17","yes",1,10,"-ATL 23","run","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"4:39","yes",2,5,"-ATL 28","run","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"3:57","yes",1,10,"-ATL 38","run","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"3:15","yes",2,6,"-ATL 42","pass","ATL"
"panthers_at_falcons_2022_reg_8","Atlanta Falcons",1,"2:32","yes",3,7,"-ATL 41","pass","ATL"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"2:14","no",1,10,"-CAR 19","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"2:07","yes",2,10,"-CAR 19","pass","CAR"
"panthers_at_falcons_2022_reg_8","Carolina Panthers",1,"1:27","yes",3,5,"-CAR 24","pass","CAR"
