"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_giants_2022_reg_2","New York Giants",1,"14:52","no",1,10,"-CAR 22","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"14:13","yes",2,8,"-CAR 20","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"13:29","yes",3,10,"-CAR 22","pass","NYG"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"12:50","no",1,10,"-CAR 25","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"12:07","yes",2,5,"-CAR 30","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"11:40","yes",1,10,"-CAR 48","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"11:35","yes",2,10,"-CAR 48","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"10:54","yes",3,12,"-CAR 46","pass","CAR"
"panthers_at_giants_2022_reg_2","New York Giants",1,"10:17","yes",1,10,"-CAR 40","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"9:39","yes",2,8,"-CAR 38","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"8:53","yes",3,5,"-CAR 35","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"8:16","no",4,1,"-CAR 31","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"7:43","no",1,10,"-CAR 29","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"7:03","yes",2,11,"-CAR 30","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"6:20","yes",3,6,"-CAR 25","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"5:41","no",1,10,"-CAR 18","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"5:33","yes",2,10,"-CAR 18","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"4:48","no",1,5,"-CAR 5","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",1,"4:02","yes",2,2,"-CAR 2","run","NYG"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"2:26","no",1,10,"-CAR 29","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"1:39","no",2,2,"-CAR 37","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"1:08","yes",1,10,"-CAR 39","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,"1:04","yes",2,10,"-CAR 39","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",1,":05","no",4,1,"-CAR 48","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"15:00","no",1,10,"-NYG 49","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"14:55","yes",2,10,"-NYG 49","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"14:31","no",1,10,"-NYG 33","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"13:52","yes",1,10,"-NYG 14","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"13:11","yes",2,11,"-NYG 15","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"12:23","yes",3,9,"-NYG 13","pass","CAR"
"panthers_at_giants_2022_reg_2","New York Giants",2,"12:15","no",1,10,"-NYG 25","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"11:37","yes",2,9,"-NYG 26","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"10:52","no",1,10,"-NYG 38","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"10:11","no",2,15,"-NYG 33","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"9:38","yes",2,25,"-NYG 23","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"9:00","yes",3,15,"-NYG 33","pass","NYG"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"8:49","yes",1,10,"-CAR 20","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"8:45","yes",2,10,"-CAR 20","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"8:10","yes",3,4,"-CAR 26","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"7:35","no",1,10,"-CAR 39","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"6:56","no",2,3,"-CAR 46","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"6:17","no",3,1,"-CAR 48","pass","CAR"
"panthers_at_giants_2022_reg_2","New York Giants",2,"6:04","no",1,10,"-NYG 11","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"5:38","yes",2,6,"-NYG 15","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,"5:35","yes",3,6,"-NYG 15","pass","NYG"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"5:19","no",1,10,"-NYG 48","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"4:38","no",1,10,"-NYG 35","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"4:01","no",2,4,"-NYG 29","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"3:17","no",1,10,"-NYG 25","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"2:35","yes",2,12,"-NYG 27","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"2:00","yes",3,3,"-NYG 18","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"1:14","yes",2,17,"-NYG 19","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",2,"1:05","yes",3,12,"-NYG 14","pass","CAR"
"panthers_at_giants_2022_reg_2","New York Giants",2,":56","yes",1,10,"-NYG 25","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,":30","yes",2,1,"-NYG 34","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",2,":26","yes",3,1,"-NYG 34","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"15:00","no",1,10,"-NYG 25","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"13:38","yes",3,11,"-NYG 24","pass","NYG"
"panthers_at_giants_2022_reg_2","Carolina Panthers",3,"13:27","yes",1,10,"-CAR 33","pass","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",3,"12:59","yes",1,10,"-NYG 38","run","CAR"
"panthers_at_giants_2022_reg_2","Carolina Panthers",3,"12:33","no",1,10,"-NYG 16","pass","CAR"
"panthers_at_giants_2022_reg_2","New York Giants",3,"12:27","yes",1,10,"-NYG 25","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"12:21","yes",2,10,"-NYG 25","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"11:42","yes",3,9,"-NYG 26","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"11:15","no",1,10,"-NYG 41","run","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"10:47","no",1,10,"-CAR 43","pass","NYG"
"panthers_at_giants_2022_reg_2","New York Giants",3,"10:15","yes",1,10,"-CAR 31","pass","NYG"
