"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"15:00","no",1,10,"-CAR 25","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"14:21","yes",2,4,"-CAR 31","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"12:54","no",2,10,"-CAR 47","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"12:09","yes",3,6,"-LA 49","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"11:36","no",1,10,"-LA 35","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"10:59","yes",2,8,"-LA 33","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"10:28","no",1,10,"-LA 22","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"10:25","yes",2,10,"-LA 22","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"10:01","yes",2,19,"-LA 31","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"9:21","yes",3,16,"-LA 28","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"8:32","no",1,10,"-LA 35","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"7:49","yes",2,6,"-LA 39","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"7:04","yes",1,10,"-LA 46","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"6:25","yes",2,8,"-LA 48","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"5:56","yes",2,18,"-LA 38","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,"5:11","yes",3,16,"-LA 40","pass","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"4:57","no",1,10,"-CAR 13","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"4:12","yes",2,2,"-CAR 21","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"3:31","no",1,10,"-CAR 25","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"2:53","yes",2,2,"-CAR 33","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"1:37","yes",2,8,"-LA 48","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",1,"1:33","yes",3,8,"-LA 48","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",1,":14","no",1,10,"-LA 7","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"15:00","no",2,1,"-LA 16","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"14:18","no",3,1,"-LA 16","run","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"13:41","yes",1,10,"-CAR 24","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"12:57","no",2,10,"-CAR 24","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"12:20","yes",3,8,"-CAR 26","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"11:32","no",1,10,"-LA 27","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"10:54","no",1,10,"-LA 40","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"10:14","no",2,8,"-LA 42","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"9:05","yes",3,13,"-LA 37","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"8:16","no",1,10,"-CAR 41","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"7:32","yes",2,7,"-CAR 38","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"6:47","no",1,10,"-CAR 26","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"6:04","yes",2,5,"-CAR 21","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"5:55","yes",2,5,"-CAR 21","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"5:49","yes",3,15,"-CAR 31","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"5:07","no",1,10,"-CAR 15","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"4:25","yes",2,7,"-CAR 12","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"4:21","yes",3,7,"-CAR 12","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"3:39","no",1,5,"-CAR 5","pass","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"3:34","no",1,10,"-CAR 25","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"2:58","yes",2,7,"-CAR 28","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,"2:50","yes",3,5,"-CAR 30","run","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"2:35","yes",1,10,"-LA 20","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"1:58","yes",1,10,"-LA 25","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",2,"1:54","yes",2,10,"-LA 25","run","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",2,":16","no",1,10,"-CAR 35","run","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"15:00","no",1,10,"-LA 25","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"14:19","no",2,3,"-LA 32","run","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"12:24","no",1,10,"-CAR 37","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"11:38","no",2,6,"-CAR 41","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"11:33","yes",3,6,"-CAR 41","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"11:23","no",1,10,"-LA 10","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"10:41","no",1,10,"-LA 23","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"9:58","no",1,10,"-LA 42","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"9:16","no",2,5,"-LA 47","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"8:08","yes",1,10,"-CAR 38","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"7:35","yes",2,11,"-CAR 39","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"6:53","no",1,10,"-CAR 19","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"6:09","no",1,5,"-CAR 5","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"5:31","yes",2,7,"-CAR 7","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"4:43","yes",3,3,"-CAR 3","pass","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"4:37","no",1,10,"-CAR 25","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"3:58","yes",2,8,"-CAR 27","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",3,"3:13","yes",3,3,"-CAR 32","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"3:01","yes",1,10,"-LA 20","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"2:24","no",2,2,"-LA 28","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"1:45","no",1,10,"-LA 41","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,"1:06","no",1,10,"-CAR 39","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,":16","no",1,10,"-CAR 17","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",3,":06","no",1,10,"-CAR 20","pass","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"15:00","no",2,4,"-CAR 26","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"14:21","yes",3,4,"-CAR 26","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"13:01","yes",2,3,"-LA 46","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"12:30","yes",1,10,"-CAR 47","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"11:49","no",2,6,"-CAR 43","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"11:03","yes",3,4,"-CAR 41","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"10:17","no",1,10,"-CAR 33","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"9:31","yes",1,10,"-CAR 20","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"8:59","no",1,4,"-CAR 4","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"8:20","no",2,2,"-CAR 2","run","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"8:15","no",1,10,"-CAR 25","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"7:40","yes",1,10,"-CAR 41","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"6:52","yes",3,19,"-CAR 32","run","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"6:04","no",1,10,"-LA 14","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"5:20","yes",2,10,"-LA 14","pass","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"4:33","yes",3,13,"-LA 11","run","LAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"4:19","yes",1,10,"-CAR 33","run","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"3:53","yes",2,9,"-CAR 34","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"3:18","yes",1,10,"-LA 17","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"2:52","yes",2,5,"-LA 12","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"2:48","yes",3,5,"-LA 12","pass","CAR"
"panthers_at_rams_2022_reg_6","Carolina Panthers",4,"2:25","yes",1,7,"-LA 7","pass","CAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"2:20","no",1,10,"-LA 20","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"2:00","no",2,5,"-LA 25","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,"1:23","no",1,10,"-LA 30","run","LAR"
"panthers_at_rams_2022_reg_6","Los Angeles Rams",4,":41","no",2,11,"-LA 29","run","LAR"
