"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"15:00","yes",1,10,"-BLT 25","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"14:11","yes",1,10,"-BLT 37","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"14:06","yes",1,15,"-BLT 32","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"13:26","yes",1,10,"-CAR 45","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"13:20","yes",2,10,"-CAR 45","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"12:40","yes",3,8,"-CAR 43","pass","BAL"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"12:30","no",1,10,"-CAR 20","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"11:55","yes",1,10,"-CAR 32","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"11:10","no",2,11,"-CAR 31","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"10:31","no",3,1,"-CAR 41","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"9:51","yes",1,10,"-CAR 43","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"9:09","no",2,6,"-CAR 47","run","CAR"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"7:30","yes",1,10,"-BLT 17","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"6:51","yes",2,8,"-BLT 19","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"6:09","yes",3,12,"-BLT 15","pass","BAL"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"5:18","no",1,10,"-CAR 25","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"5:15","yes",2,10,"-CAR 25","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",1,"4:31","yes",3,10,"-CAR 25","pass","CAR"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"3:45","yes",1,10,"-BLT 29","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"3:07","yes",2,8,"-BLT 31","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"2:29","yes",3,2,"-BLT 37","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"1:54","yes",1,10,"-BLT 47","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,"1:11","yes",2,9,"-BLT 48","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",1,":34","yes",3,2,"-CAR 45","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"15:00","no",4,2,"-CAR 45","run","BAL"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"14:52","no",1,10,"-CAR 17","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"14:17","no",2,6,"-CAR 21","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"13:33","yes",3,9,"-CAR 18","pass","CAR"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"12:35","yes",1,10,"-BLT 49","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"11:52","yes",2,10,"-BLT 49","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"11:05","yes",3,13,"-BLT 46","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"10:42","yes",1,10,"-CAR 41","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"10:12","yes",2,3,"-CAR 34","run","BAL"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"9:19","no",1,10,"-CAR 35","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"8:45","no",2,2,"-CAR 43","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"7:59","yes",1,10,"-CAR 45","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"7:17","no",2,9,"-CAR 46","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"6:35","yes",3,7,"-CAR 48","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"5:51","no",1,10,"-BLT 44","run","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"5:08","no",2,10,"-BLT 44","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"5:01","no",2,25,"-CAR 41","pass","CAR"
"panthers_at_ravens_2022_reg_11","Carolina Panthers",2,"3:52","yes",3,18,"-CAR 48","pass","CAR"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"3:38","yes",1,10,"-BLT 10","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"3:13","yes",2,4,"-BLT 16","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"2:31","yes",3,1,"-BLT 19","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"2:00","yes",1,10,"-BLT 23","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"1:29","yes",2,3,"-BLT 30","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,"1:10","yes",1,10,"-BLT 34","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,":51","yes",2,7,"-BLT 37","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,":46","yes",1,10,"-BLT 44","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,":39","yes",2,2,"-CAR 48","pass","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,":35","yes",3,2,"-CAR 48","run","BAL"
"panthers_at_ravens_2022_reg_11","Baltimore Ravens",2,":28","yes",1,10,"-CAR 45","pass","BAL"
