"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"14:53","no",1,15,"-CAR 23","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"14:16","no",2,13,"-CAR 25","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"13:37","yes",3,10,"-CAR 28","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"12:54","no",1,10,"-CAR 40","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"12:12","yes",2,9,"-CAR 41","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"11:32","yes",3,5,"-CAR 45","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"10:49","no",1,10,"-SEA 44","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"10:10","no",2,6,"-SEA 40","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"9:33","no",3,1,"-SEA 35","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"8:31","yes",1,15,"-SEA 38","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"8:26","yes",2,15,"-SEA 38","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"7:48","yes",3,8,"-SEA 31","run","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"7:05","yes",1,10,"-SEA 25","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"6:49","no",1,10,"-SEA 13","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"6:44","no",1,10,"-SEA 25","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"6:12","yes",2,12,"-SEA 23","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"5:29","yes",3,5,"-SEA 30","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"5:23","no",1,10,"-SEA 35","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"4:50","no",2,8,"-SEA 37","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",1,"4:43","yes",3,8,"-SEA 37","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"4:27","no",1,10,"-CAR 26","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"3:49","yes",2,7,"-CAR 29","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"3:11","no",1,10,"-CAR 38","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"2:28","no",2,8,"-CAR 40","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"1:47","no",1,10,"-SEA 43","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,"1:09","yes",1,10,"-SEA 26","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",1,":27","no",2,7,"-SEA 23","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"15:00","yes",1,10,"-SEA 15","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"14:20","no",2,3,"-SEA 8","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"13:41","yes",1,3,"-SEA 3","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"13:21","yes",2,1,"-SEA 1","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"12:39","yes",3,2,"-SEA 2","run","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"12:29","yes",1,10,"-SEA 33","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"11:51","no",2,5,"-SEA 38","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"11:48","yes",3,5,"-SEA 38","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"11:15","yes",1,10,"-CAR 24","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"10:52","yes",1,7,"-CAR 7","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"10:08","no",2,7,"-CAR 7","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"9:33","yes",3,4,"-CAR 4","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"9:26","no",1,10,"-CAR 25","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"8:46","no",2,7,"-CAR 28","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"7:57","no",1,15,"-SEA 37","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"7:14","yes",2,17,"-SEA 35","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"6:18","no",1,10,"-SEA 39","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"5:51","no",1,10,"-SEA 21","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"5:13","yes",2,3,"-SEA 14","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"4:30","no",3,1,"-SEA 12","run","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"3:44","no",1,14,"-SEA 15","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,"2:52","yes",3,19,"-SEA 20","pass","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"2:01","yes",1,10,"-CAR 46","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"1:53","yes",2,5,"-CAR 41","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"1:36","yes",3,3,"-CAR 39","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"1:06","yes",2,14,"-CAR 33","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,":35","yes",3,8,"-CAR 27","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,":29","yes",1,10,"-CAR 12","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,":25","yes",2,10,"-CAR 12","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,":20","yes",3,10,"-CAR 12","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Carolina Panthers",2,":16","yes",1,10,"-CAR 25","run","CAR"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"14:53","no",1,10,"-SEA 40","run","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"14:08","yes",2,9,"-SEA 41","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"13:34","yes",1,10,"-CAR 45","pass","SEA"
"panthers_at_seahawks_2022_reg_14","Seattle Seahawks",2,"13:29","yes",2,10,"-CAR 45","run","SEA"
