"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"15:00","yes",1,10,"-CLV 25","pass","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"14:21","no",1,10,"-NE 36","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"13:44","yes",2,7,"-NE 39","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"13:41","yes",3,7,"-NE 39","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"13:00","no",1,10,"-CLV 44","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"12:20","no",2,8,"-CLV 42","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"11:21","yes",3,9,"-CLV 43","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"10:37","no",1,10,"-CLV 14","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"9:57","yes",2,9,"-CLV 13","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"8:56","yes",3,7,"-CLV 11","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"8:51","no",1,1,"-CLV 1","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"8:17","no",2,1,"-CLV 1","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"7:40","no",3,1,"-CLV 1","pass","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"7:27","yes",1,10,"-CLV 25","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"6:48","no",2,2,"-CLV 33","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"6:06","yes",1,10,"-CLV 40","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"6:02","no",2,10,"-CLV 40","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"5:22","yes",3,10,"-CLV 40","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"5:03","no",1,10,"-NE 27","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"4:25","yes",2,8,"-NE 25","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,"3:47","yes",3,4,"-NE 21","run","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"2:55","yes",1,10,"-NE 22","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"2:19","no",1,10,"-NE 36","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,"1:25","yes",1,25,"-NE 21","pass","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",1,":47","no",1,10,"-NE 38","pass","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",1,":15","no",1,10,"-NE 27","run","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"15:00","yes",2,7,"-NE 24","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"14:22","yes",3,6,"-NE 23","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"14:00","no",4,1,"-NE 18","run","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"13:56","yes",1,10,"-NE 18","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"13:21","no",2,7,"-NE 21","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"12:38","yes",3,2,"-NE 26","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"12:32","no",1,10,"-NE 44","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"11:50","yes",2,12,"-NE 42","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"11:45","yes",3,12,"-NE 42","pass","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"11:35","yes",1,10,"-CLV 13","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"10:58","yes",2,8,"-CLV 15","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"10:19","no",1,10,"-CLV 27","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"9:23","no",1,10,"-CLV 38","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"8:39","no",1,10,"-CLV 48","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"8:09","no",2,7,"-NE 49","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"8:03","yes",3,7,"-NE 49","pass","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"7:48","yes",1,10,"-NE 13","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"7:11","no",1,10,"-NE 25","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"6:31","yes",1,10,"-NE 45","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"5:35","yes",2,13,"-NE 42","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"4:59","no",1,10,"-CLV 44","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"4:23","yes",2,9,"-CLV 43","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"3:40","yes",1,10,"-CLV 31","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"3:34","yes",2,10,"-CLV 31","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,"3:30","yes",3,10,"-CLV 31","run","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"3:17","yes",1,10,"-CLV 29","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"2:46","no",2,7,"-CLV 32","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"2:00","yes",3,5,"-CLV 34","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"1:30","yes",1,10,"-CLV 41","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"1:22","yes",2,10,"-CLV 41","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"1:19","yes",3,10,"-CLV 41","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",2,"1:13","yes",1,10,"-NE 38","run","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,":42","yes",3,1,"-NE 29","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",2,":26","yes",1,10,"-NE 25","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"15:00","no",1,10,"-NE 25","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"14:21","yes",2,9,"-NE 26","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"13:33","no",1,10,"-CLV 21","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"12:49","yes",2,4,"-CLV 15","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"12:09","no",1,2,"-CLV 2","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"11:29","yes",2,2,"-CLV 2","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"11:25","yes",3,2,"-CLV 2","pass","NE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"11:22","no",1,10,"-CLV 25","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"10:47","yes",2,12,"-CLV 23","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"10:39","yes",3,12,"-CLV 23","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"10:13","no",1,10,"-CLV 36","run","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"9:31","no",2,9,"-CLV 37","pass","CLE"
"patriots_at_browns_2022_reg_6","Cleveland Browns",3,"9:25","yes",3,9,"-CLV 37","pass","CLE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"9:08","yes",1,10,"-NE 39","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"8:49","yes",1,20,"-NE 29","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"8:05","no",2,18,"-NE 31","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"7:26","yes",3,12,"-NE 37","pass","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"7:02","no",1,10,"-CLV 40","run","NE"
"patriots_at_browns_2022_reg_6","New England Patriots",3,"6:24","yes",2,9,"-CLV 39","pass","NE"
