"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"14:54","yes",1,10,"-ARZ 26","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"14:11","no",2,1,"-ARZ 35","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"13:51","yes",1,10,"-ARZ 41","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"13:24","yes",2,7,"-ARZ 44","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"12:41","yes",3,6,"-ARZ 45","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"11:18","yes",2,12,"-NE 36","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"11:15","yes",3,12,"-NE 36","pass","ARI"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"10:34","yes",1,10,"-NE 40","pass","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"10:01","no",1,10,"-ARZ 46","run","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"9:26","no",2,9,"-ARZ 45","pass","NE"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"9:12","no",1,10,"-ARZ 4","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"8:35","yes",1,10,"-ARZ 27","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"7:52","yes",1,10,"-ARZ 41","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"6:36","yes",3,13,"-ARZ 38","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"6:06","yes",3,18,"-ARZ 33","pass","ARI"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"4:56","no",1,10,"-NE 3","run","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"3:50","yes",1,10,"-NE 17","run","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"3:15","yes",2,8,"-NE 19","pass","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",1,"2:43","yes",1,10,"-NE 31","run","NE"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"2:08","yes",1,10,"-NE 36","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"1:35","yes",2,4,"-NE 30","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"1:30","yes",3,4,"-NE 30","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,"1:08","yes",1,10,"-NE 20","run","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",1,":29","yes",2,7,"-NE 17","pass","ARI"
"patriots_at_cardinals_2022_reg_14","Arizona Cardinals",2,"15:00","yes",3,5,"-NE 15","pass","ARI"
"patriots_at_cardinals_2022_reg_14","New England Patriots",2,"14:52","yes",1,10,"-NE 25","pass","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",2,"14:47","no",2,10,"-NE 25","pass","NE"
"patriots_at_cardinals_2022_reg_14","New England Patriots",2,"14:08","yes",3,2,"-NE 33","pass","NE"
