"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"15:00","yes",1,10,"-NE 25","pass","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"14:27","no",2,1,"-NE 34","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"13:46","no",1,10,"-NE 46","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"13:01","yes",2,7,"-NE 49","pass","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"12:20","no",1,10,"-MIA 43","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"11:33","no",2,2,"-MIA 35","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"10:48","yes",1,10,"-MIA 33","pass","NE"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"9:52","yes",1,10,"-MIA 28","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"9:47","yes",2,10,"-MIA 28","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"9:05","yes",3,2,"-MIA 36","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"8:23","yes",1,10,"-MIA 41","run","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"7:38","no",2,8,"-MIA 43","run","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"6:48","no",1,10,"-NE 45","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"6:20","yes",1,10,"-NE 22","run","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",1,"5:40","no",2,5,"-NE 17","run","MIA"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"4:05","no",1,10,"-NE 25","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"3:29","no",2,3,"-NE 32","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"3:07","yes",1,10,"-NE 44","pass","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"2:31","yes",2,13,"-NE 41","pass","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,"1:27","yes",3,11,"-NE 43","pass","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",1,":06","no",2,17,"-MIA 47","run","NE"
"patriots_at_dolphins_2022_reg_1","New England Patriots",2,"15:00","yes",3,19,"-MIA 49","pass","NE"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",2,"14:07","yes",1,10,"-MIA 6","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",2,"13:32","no",2,5,"-MIA 11","pass","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",2,"12:49","no",3,1,"-MIA 15","run","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",2,"12:08","yes",1,10,"-MIA 17","run","MIA"
"patriots_at_dolphins_2022_reg_1","Miami Dolphins",2,"11:39","no",2,7,"-MIA 20","pass","MIA"
