"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_jets_2022_reg_8","New York Jets",1,"14:56","yes",1,10,"-NYJ 18","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"14:19","yes",2,5,"-NYJ 23","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"14:16","yes",3,5,"-NYJ 23","pass","NYJ"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"14:05","yes",1,10,"-NYJ 45","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"14:02","no",2,10,"-NYJ 45","run","NE"
"patriots_at_jets_2022_reg_8","New York Jets",1,"12:43","no",1,10,"-NYJ 8","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"11:59","yes",2,9,"-NYJ 9","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"11:23","yes",3,5,"-NYJ 13","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"10:47","no",1,10,"-NYJ 29","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"10:43","yes",2,10,"-NYJ 29","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"10:03","yes",3,5,"-NYJ 34","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"9:14","yes",1,10,"-NE 12","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"8:30","yes",2,8,"-NE 10","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",1,"8:23","yes",3,8,"-NE 10","pass","NYJ"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"8:14","no",1,10,"-NE 25","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"6:57","yes",2,15,"-NE 34","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"6:19","yes",3,10,"-NE 39","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"5:48","no",1,10,"-NYJ 45","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"5:29","no",2,11,"-NYJ 46","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"5:23","yes",3,11,"-NYJ 46","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"4:43","yes",1,10,"-NYJ 33","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"4:05","no",2,8,"-NYJ 31","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"3:21","yes",3,5,"-NYJ 28","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"2:41","no",1,10,"-NYJ 19","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,"1:25","yes",2,16,"-NYJ 16","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",1,":44","no",3,18,"-NYJ 18","run","NE"
"patriots_at_jets_2022_reg_8","New York Jets",2,"15:00","yes",1,10,"-NYJ 25","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",2,"14:14","no",1,10,"-NYJ 48","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",2,"13:52","yes",1,10,"-NE 42","pass","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",2,"13:25","yes",1,10,"-NE 12","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",2,"12:52","yes",2,6,"-NE 8","run","NYJ"
"patriots_at_jets_2022_reg_8","New York Jets",2,"12:04","yes",3,6,"-NE 8","pass","NYJ"
"patriots_at_jets_2022_reg_8","New England Patriots",2,"12:00","yes",1,10,"-NE 25","pass","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",2,"11:27","no",2,6,"-NE 29","run","NE"
"patriots_at_jets_2022_reg_8","New England Patriots",2,"10:54","yes",3,8,"-NE 27","pass","NE"
