"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"15:00","yes",1,10,"-NE 25","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"14:30","yes",2,5,"-NE 30","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"13:51","no",1,10,"-NE 37","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"13:15","no",2,2,"-NE 45","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"12:32","no",1,10,"-NE 48","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"11:50","no",2,4,"-GB 46","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"11:08","yes",1,10,"-GB 19","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"10:31","no",2,9,"-GB 18","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"9:53","yes",3,10,"-GB 19","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,"9:45","yes",1,10,"-GB 25","pass","GB"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"8:52","yes",1,10,"-GB 49","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"8:16","yes",2,7,"-GB 46","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"7:36","no",3,1,"-GB 40","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"6:59","no",1,10,"-GB 37","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"6:23","yes",2,8,"-GB 35","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,"5:00","yes",1,10,"-GB 20","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,"4:16","yes",2,5,"-GB 25","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,"3:52","no",1,10,"-NE 40","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,"3:11","yes",2,9,"-NE 39","pass","GB"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"2:25","no",1,14,"-NE 4","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"2:05","no",2,12,"-NE 6","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",1,"1:19","yes",3,8,"-NE 10","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",1,":23","yes",1,10,"-NE 40","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"15:00","yes",2,5,"-NE 35","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"14:21","yes",3,2,"-NE 32","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"13:43","yes",1,10,"-NE 25","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"13:05","no",1,10,"-NE 15","run","GB"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"12:55","yes",1,10,"-NE 27","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"12:24","yes",2,1,"-NE 36","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"12:08","yes",3,3,"-NE 34","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"11:21","no",1,10,"-NE 38","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"10:44","yes",2,12,"-NE 36","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"10:40","yes",3,12,"-NE 36","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"9:52","yes",1,10,"-GB 20","pass","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"9:47","yes",2,10,"-GB 20","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"9:04","yes",3,8,"-GB 22","pass","GB"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"8:52","no",1,10,"-NE 25","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"8:11","yes",2,5,"-NE 30","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"7:27","no",1,10,"-NE 45","pass","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"7:22","yes",2,10,"-NE 45","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"6:38","yes",3,8,"-NE 47","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"5:46","yes",1,10,"-GB 9","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"5:07","yes",2,8,"-GB 11","pass","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"4:27","yes",1,10,"-GB 24","run","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"3:46","no",2,3,"-GB 31","pass","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,"3:41","yes",3,3,"-GB 31","pass","GB"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"2:34","yes",3,3,"-GB 43","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"2:00","no",1,10,"-GB 35","run","NE"
"patriots_at_packers_2022_reg_4","New England Patriots",2,"1:13","yes",2,5,"-GB 30","pass","NE"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,":54","yes",1,10,"-GB 31","pass","GB"
"patriots_at_packers_2022_reg_4","Green Bay Packers",2,":49","yes",2,10,"-GB 31","run","GB"
