"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"14:54","yes",1,10,"-LV 27","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"14:17","yes",2,7,"-LV 30","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"13:39","no",3,1,"-LV 36","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"13:01","no",1,10,"-LV 39","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"12:55","yes",2,10,"-LV 39","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"12:12","no",1,10,"-NE 43","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"11:32","no",2,6,"-NE 39","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"10:53","yes",3,4,"-NE 37","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"10:21","yes",1,10,"-NE 26","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"9:09","no",2,10,"-NE 26","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"8:41","no",2,15,"-NE 31","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"8:35","yes",3,15,"-NE 31","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"8:26","yes",1,10,"-NE 25","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"7:50","no",1,10,"-NE 36","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"7:19","yes",2,8,"-NE 38","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"7:15","yes",3,8,"-NE 38","pass","NE"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"7:01","no",1,10,"-LV 30","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"6:13","no",2,2,"-LV 38","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"5:08","no",1,15,"-LV 37","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"4:30","yes",2,6,"-LV 46","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",1,"4:26","yes",3,6,"-LV 46","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"4:10","no",1,10,"-NE 12","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"3:33","yes",2,1,"-NE 21","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"2:50","yes",1,10,"-NE 24","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"2:10","no",2,12,"-NE 22","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,"1:26","yes",3,11,"-NE 23","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,":45","no",1,10,"-NE 44","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",1,":05","yes",1,10,"-LV 42","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"15:00","yes",1,10,"-LV 29","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"14:17","no",2,4,"-LV 23","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"13:30","yes",1,10,"-LV 19","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"12:52","yes",2,8,"-LV 17","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"12:47","yes",1,2,"-LV 2","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"12:02","yes",2,1,"-LV 1","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"11:58","yes",3,1,"-LV 1","pass","NE"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"11:44","yes",1,10,"-LV 24","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"11:04","no",2,1,"-LV 33","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"10:25","no",1,10,"-LV 37","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"9:44","no",2,9,"-LV 38","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"9:37","yes",3,9,"-LV 38","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"8:50","yes",1,10,"-NE 42","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"8:08","no",2,4,"-NE 36","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"7:22","yes",1,10,"-NE 25","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"6:37","no",2,5,"-NE 20","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"5:26","yes",1,20,"-NE 25","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"5:22","yes",2,20,"-NE 25","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"5:18","no",1,10,"-NE 25","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"4:07","yes",2,14,"-NE 21","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"4:03","yes",3,14,"-NE 21","pass","NE"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"3:49","no",1,10,"-LV 39","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"3:11","yes",2,9,"-LV 40","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"2:25","yes",3,8,"-LV 41","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"2:07","yes",1,10,"-NE 26","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"2:00","yes",1,10,"-NE 43","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,"1:29","yes",2,6,"-NE 47","pass","NE"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,"1:23","yes",3,11,"-NE 42","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,":27","yes",1,15,"-NE 25","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,":19","yes",2,5,"-NE 15","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,":15","yes",1,10,"-NE 10","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",2,":09","yes",1,5,"-NE 5","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",2,":04","no",1,10,"-NE 25","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"15:00","no",1,10,"-NE 25","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"14:49","no",1,10,"-NE 36","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"14:17","no",2,4,"-NE 42","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"13:39","yes",1,10,"-NE 47","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"13:06","yes",2,6,"-LV 49","pass","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"13:03","yes",3,6,"-LV 49","pass","NE"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"12:50","no",1,10,"-LV 13","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"12:11","no",2,6,"-LV 17","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"11:59","yes",1,10,"-LV 33","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"11:52","no",2,10,"-LV 33","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"10:51","yes",3,13,"-LV 30","pass","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"10:10","no",1,10,"-LV 44","run","LV"
"patriots_at_raiders_2022_reg_15","Las Vegas Raiders",3,"8:42","yes",3,15,"-LV 39","pass","LV"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"7:54","no",1,10,"-NE 2","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"7:14","yes",1,10,"-NE 28","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"6:36","no",2,3,"-NE 35","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"5:57","no",2,10,"-NE 39","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"4:53","yes",2,5,"-LV 45","run","NE"
"patriots_at_raiders_2022_reg_15","New England Patriots",3,"4:12","yes",1,10,"-LV 40","pass","NE"
