"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"15:00","no",1,10,"-PIT 25","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"14:21","yes",2,8,"-PIT 27","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"13:45","yes",3,4,"-PIT 31","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"13:27","yes",1,10,"-NE 20","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"13:21","yes",2,10,"-NE 20","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"12:43","yes",3,7,"-NE 23","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"12:04","yes",1,10,"-NE 31","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"11:29","yes",2,6,"-NE 35","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"10:46","yes",3,4,"-NE 37","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"10:12","yes",1,10,"-PIT 47","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"9:31","yes",1,10,"-PIT 31","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"8:57","yes",2,1,"-PIT 22","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"8:14","yes",1,10,"-PIT 17","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"7:34","yes",2,8,"-PIT 15","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"7:30","yes",3,13,"-PIT 20","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"6:42","yes",1,10,"-PIT 25","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"6:06","yes",2,10,"-PIT 25","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"5:09","yes",1,10,"-PIT 36","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"4:29","no",2,3,"-PIT 43","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"3:50","yes",1,10,"-PIT 47","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"3:14","no",2,4,"-NE 47","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,"2:25","no",3,1,"-NE 44","run","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"1:38","no",1,10,"-NE 39","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",1,"1:32","yes",2,10,"-NE 39","run","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,":42","no",1,10,"-PIT 34","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",1,":07","yes",2,5,"-PIT 39","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"15:00","yes",3,1,"-PIT 43","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"14:25","no",1,10,"-PIT 48","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"13:44","yes",2,10,"-PIT 48","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"13:40","yes",3,10,"-PIT 48","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"12:22","yes",2,17,"-NE 47","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"12:19","yes",3,17,"-NE 47","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"12:13","yes",1,10,"-NE 30","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"11:29","no",2,4,"-NE 24","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"11:08","no",3,1,"-NE 21","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"10:02","yes",1,15,"-NE 24","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"9:57","yes",2,15,"-NE 24","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"8:29","yes",1,10,"-NE 34","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"7:51","yes",2,6,"-NE 38","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"7:46","yes",3,16,"-NE 28","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"7:15","yes",3,26,"-NE 18","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"6:25","yes",1,10,"-PIT 20","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"5:52","no",2,6,"-PIT 24","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"5:11","yes",3,3,"-PIT 27","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"4:53","yes",1,10,"-PIT 32","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"3:59","yes",2,13,"-PIT 29","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,"3:24","yes",3,7,"-PIT 35","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"3:08","yes",1,10,"-NE 26","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"3:05","yes",2,10,"-NE 26","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"2:16","no",3,1,"-NE 35","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"2:00","yes",1,10,"-NE 39","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,"1:22","yes",2,6,"-NE 43","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,":55","yes",1,10,"-NE 49","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,":51","yes",2,10,"-NE 49","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",2,":30","yes",3,3,"-PIT 44","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,":22","yes",1,10,"-PIT 25","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,":17","yes",1,10,"-PIT 48","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",2,":03","yes",3,14,"-PIT 44","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"15:00","yes",1,10,"-NE 25","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"14:31","yes",2,5,"-NE 30","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"13:48","yes",1,10,"-NE 40","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"13:08","yes",2,7,"-NE 43","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"12:23","yes",1,10,"-PIT 46","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"11:43","yes",2,7,"-PIT 43","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"11:39","yes",3,7,"-PIT 43","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"11:10","yes",1,10,"-PIT 36","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"10:04","yes",2,12,"-PIT 38","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"9:26","yes",3,8,"-PIT 34","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"9:17","no",1,10,"-PIT 42","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"8:31","no",1,10,"-NE 45","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"7:49","yes",2,9,"-NE 44","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"7:09","yes",1,10,"-NE 35","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"7:06","no",2,10,"-NE 35","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"6:27","yes",3,8,"-NE 33","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"5:40","no",1,10,"-NE 17","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"4:38","yes",1,15,"-NE 37","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"4:18","yes",2,9,"-NE 43","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"4:12","yes",3,9,"-NE 43","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"3:58","yes",1,10,"-PIT 10","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"3:24","yes",2,7,"-PIT 7","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",3,"2:50","no",3,2,"-PIT 2","run","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"2:47","no",1,10,"-PIT 25","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"2:21","yes",1,10,"-PIT 39","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"2:18","no",2,10,"-PIT 39","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"2:08","yes",1,10,"-NE 43","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,"1:27","yes",2,2,"-NE 35","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,":59","yes",1,10,"-NE 27","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",3,":41","yes",2,7,"-NE 11","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"15:00","yes",3,4,"-NE 8","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"14:50","yes",1,10,"-NE 28","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"14:13","yes",1,10,"-NE 39","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"13:31","yes",2,7,"-NE 42","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"13:00","no",2,17,"-NE 32","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"12:20","yes",3,9,"-NE 40","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"11:37","yes",1,10,"-PIT 45","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"11:07","yes",2,5,"-PIT 40","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"11:03","yes",3,5,"-PIT 40","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"10:49","no",1,10,"-PIT 11","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"10:13","yes",2,8,"-PIT 13","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"10:08","yes",3,8,"-PIT 13","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"9:01","no",2,4,"-PIT 44","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"8:14","yes",3,2,"-PIT 42","pass","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"8:03","yes",1,10,"-PIT 20","run","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"7:28","yes",2,5,"-PIT 25","pass","PIT"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,"6:47","yes",3,2,"-PIT 28","pass","PIT"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"6:33","no",1,10,"-NE 30","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"5:58","no",2,7,"-NE 33","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"5:23","yes",2,13,"-NE 27","pass","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"4:37","yes",3,2,"-NE 38","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"3:51","yes",1,10,"-NE 43","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"3:07","yes",2,4,"-NE 49","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"2:23","yes",1,10,"-PIT 43","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"2:00","yes",1,10,"-PIT 27","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"1:57","no",2,12,"-PIT 29","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,"1:40","no",1,10,"-PIT 15","run","NE"
"patriots_at_steelers_2022_reg_2","New England Patriots",4,":58","no",2,14,"-PIT 19","run","NE"
"patriots_at_steelers_2022_reg_2","Pittsburgh Steelers",4,":26","no",3,16,"-PIT 21","run","PIT"
