"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"14:54","no",1,10,"-MIN 20","run","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"14:26","no",2,6,"-MIN 24","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"13:41","no",1,10,"-MIN 37","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"13:16","no",1,10,"-NE 41","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"12:36","yes",1,10,"-NE 25","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"11:56","no",1,10,"-NE 14","run","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"11:11","no",2,6,"-NE 10","run","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"10:44","yes",3,2,"-NE 6","pass","MIN"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"10:09","yes",1,10,"-MIN 49","run","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"9:40","no",2,3,"-MIN 42","run","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"9:08","yes",1,10,"-MIN 38","pass","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"8:29","yes",2,6,"-MIN 34","pass","NE"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"8:15","no",1,10,"-MIN 21","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"7:39","no",2,4,"-MIN 27","run","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"6:56","yes",3,1,"-MIN 30","pass","MIN"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"6:44","no",1,10,"-NE 14","run","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"6:12","yes",2,5,"-NE 19","pass","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"5:40","yes",3,3,"-NE 21","pass","NE"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"5:27","no",1,10,"-MIN 43","run","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"5:01","no",1,10,"-NE 46","pass","MIN"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"4:23","no",2,8,"-NE 44","run","MIN"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"3:28","no",1,10,"-MIN 17","run","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"2:53","yes",2,7,"-MIN 14","run","NE"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,"2:11","yes",3,14,"-MIN 21","pass","NE"
"patriots_at_vikings_2022_reg_12","Minnesota Vikings",1,"1:23","yes",1,10,"-MIN 16","run","MIN"
"patriots_at_vikings_2022_reg_12","New England Patriots",1,":47","yes",3,7,"-MIN 19","pass","NE"
