"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"14:56","no",1,10,"-LV 26","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"14:16","no",2,7,"-LV 29","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"13:32","yes",3,7,"-LV 29","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"12:21","yes",2,7,"-DEN 47","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"11:45","no",1,10,"-DEN 32","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"11:29","no",1,20,"-DEN 42","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"11:24","yes",2,20,"-DEN 42","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"10:42","yes",3,20,"-DEN 42","pass","LV"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"9:52","yes",1,10,"-DEN 8","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"9:20","no",1,10,"-DEN 23","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"8:41","no",2,6,"-DEN 27","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"8:36","yes",1,10,"-DEN 45","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"8:01","yes",2,6,"-DEN 49","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"7:17","yes",1,10,"-LV 35","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"6:25","no",1,1,"-LV 1","run","DEN"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"6:16","no",1,10,"-LV 15","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"6:11","no",1,10,"-LV 20","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"5:34","no",2,3,"-LV 27","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"4:57","no",1,10,"-LV 41","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"3:33","yes",1,10,"-DEN 48","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"2:46","yes",2,6,"-DEN 44","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"2:02","no",3,2,"-DEN 40","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"1:19","no",1,10,"-DEN 38","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,":35","yes",2,4,"-DEN 32","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"13:59","yes",2,29,"-DEN 46","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"13:15","yes",3,29,"-DEN 46","pass","LV"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"12:26","no",1,10,"-DEN 36","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"11:54","no",2,6,"-DEN 40","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"11:30","yes",1,10,"-DEN 49","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"10:51","no",2,1,"-LV 42","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"10:09","yes",1,10,"-LV 32","pass","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"10:02","yes",2,10,"-LV 32","run","DEN"
"raiders_at_broncos_2022_reg_11","Denver Broncos",1,"9:27","yes",3,8,"-LV 30","pass","DEN"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"9:19","no",1,10,"-LV 25","run","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"9:12","no",1,19,"-LV 16","pass","LV"
"raiders_at_broncos_2022_reg_11","Las Vegas Raiders",1,"9:07","no",2,19,"-LV 16","pass","LV"
