"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"15:00","yes",1,10,"-LAC 25","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"14:43","no",2,2,"-LAC 33","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"14:02","no",3,1,"-LAC 34","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"13:24","no",1,10,"-LAC 36","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"12:50","no",2,8,"-LAC 38","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"12:08","no",1,10,"-LAC 47","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"11:33","no",2,6,"-LV 49","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"10:53","yes",3,8,"-LAC 49","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"10:13","no",1,10,"-LV 26","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"9:36","yes",2,13,"-LV 29","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"9:12","yes",3,9,"-LV 25","pass","LAC"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"9:03","yes",1,10,"-LV 25","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"7:39","yes",2,17,"-LV 29","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"7:33","yes",3,17,"-LV 29","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"6:23","no",2,7,"-LAC 47","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"5:37","yes",3,6,"-LAC 46","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"4:55","yes",1,10,"-LAC 30","run","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"4:14","yes",2,6,"-LAC 26","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"4:07","yes",3,6,"-LAC 26","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"3:24","no",1,4,"-LAC 4","run","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"2:41","yes",2,5,"-LAC 5","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,"2:37","yes",3,5,"-LAC 5","pass","LV"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"2:29","yes",1,10,"-LAC 40","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"1:52","yes",2,7,"-LAC 43","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",1,"1:25","yes",3,2,"-LAC 48","run","LAC"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",1,":28","yes",1,10,"-LV 2","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"15:00","yes",2,5,"-LV 7","run","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"14:20","yes",3,2,"-LV 10","run","LV"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"13:18","yes",1,10,"-LAC 33","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"12:39","yes",2,15,"-LAC 28","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"11:59","no",1,10,"-LAC 47","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"11:32","yes",1,10,"-LV 11","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"10:49","no",2,7,"-LV 8","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"10:08","yes",3,4,"-LV 5","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"9:47","no",1,1,"-LV 1","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"9:42","yes",2,1,"-LV 1","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"9:38","no",3,1,"-LV 1","pass","LAC"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"9:34","yes",1,10,"-LV 25","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"8:57","no",2,5,"-LV 30","pass","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"8:21","no",1,10,"-LV 45","run","LV"
"raiders_at_chargers_2022_reg_1","Las Vegas Raiders",2,"7:38","yes",2,7,"-LV 48","pass","LV"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"7:07","no",1,10,"-LAC 9","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"6:28","yes",2,7,"-LAC 12","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"5:49","no",1,10,"-LAC 20","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"5:17","yes",1,20,"-LAC 10","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"4:38","yes",2,8,"-LAC 22","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"3:58","no",1,10,"-LAC 33","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"3:11","no",1,10,"-LV 37","run","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"2:06","yes",2,12,"-LV 39","pass","LAC"
"raiders_at_chargers_2022_reg_1","Los Angeles Chargers",2,"1:58","no",3,1,"-LV 28","run","LAC"
