"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 25","run","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"14:22","no",2,7,"-LV 28","run","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"13:54","yes",2,21,"-LV 14","pass","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"13:46","yes",3,21,"-LV 14","pass","LV"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"12:50","yes",1,10,"-KC 21","run","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"12:14","yes",2,8,"-KC 23","pass","KC"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"10:39","no",2,17,"-LV 26","pass","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"9:56","no",3,3,"-LV 40","run","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"9:26","yes",3,13,"-LV 30","pass","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"8:36","no",4,1,"-LV 42","pass","LV"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"8:27","yes",1,10,"-KC 25","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"7:51","yes",1,10,"-KC 35","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"7:18","yes",2,3,"-KC 42","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"6:45","yes",1,10,"-KC 46","run","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"6:12","yes",2,10,"-KC 46","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"5:41","yes",1,10,"-LV 43","run","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"5:01","yes",2,6,"-LV 39","run","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"4:20","yes",1,10,"-LV 23","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"4:16","yes",2,10,"-LV 23","pass","KC"
"raiders_at_chiefs_2022_reg_5","Kansas City Chiefs",1,"4:11","yes",3,10,"-LV 23","pass","KC"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"4:03","no",1,10,"-LV 31","run","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"3:29","no",2,5,"-LV 36","run","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"2:47","no",3,4,"-LV 37","pass","LV"
"raiders_at_chiefs_2022_reg_5","Las Vegas Raiders",1,"2:06","no",1,10,"-LV 42","run","LV"
