"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"15:00","yes",1,10,"-LV 25","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"14:55","yes",2,10,"-LV 25","pass","LV"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"13:31","yes",1,10,"-JAX 30","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"13:26","yes",2,10,"-JAX 30","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"12:47","yes",3,3,"-JAX 37","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"12:07","yes",1,10,"-JAX 46","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"11:33","no",1,10,"-LV 31","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"10:59","no",2,8,"-LV 29","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"10:21","yes",3,5,"-LV 26","run","JAX"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"10:13","yes",1,10,"-LV 29","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"9:47","yes",2,13,"-LV 26","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"9:11","yes",3,9,"-LV 30","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"8:41","yes",1,10,"-LV 41","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"8:15","yes",1,20,"-LV 31","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"7:42","yes",1,10,"-JAX 48","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"7:16","yes",1,20,"-LV 42","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"7:10","no",2,20,"-LV 42","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"7:06","yes",3,20,"-LV 42","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"6:24","yes",4,4,"-JAX 42","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"5:35","no",1,10,"-JAX 31","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"4:51","yes",2,4,"-JAX 25","pass","LV"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"4:40","no",1,10,"-JAX 8","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"4:35","yes",2,10,"-JAX 8","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",1,"3:52","no",3,1,"-JAX 17","run","JAX"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"3:04","yes",1,10,"-LV 45","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"2:29","no",1,10,"-JAX 41","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"1:48","no",2,12,"-JAX 43","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,"1:06","yes",3,8,"-JAX 39","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",1,":26","no",1,10,"-JAX 26","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"15:00","yes",2,11,"-JAX 27","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"14:56","yes",3,11,"-JAX 27","pass","LV"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"14:08","yes",1,10,"-JAX 25","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"13:27","no",2,4,"-JAX 31","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"12:49","yes",3,4,"-JAX 31","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"12:33","no",1,10,"-LV 31","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"11:56","yes",2,9,"-LV 32","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"11:00","no",1,10,"-JAX 38","pass","LV"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"10:51","yes",1,10,"-JAX 25","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"10:15","no",2,1,"-JAX 34","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"9:36","yes",1,10,"-JAX 37","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"8:58","yes",1,10,"-LV 41","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"8:16","yes",2,16,"-LV 47","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"7:32","yes",3,8,"-LV 39","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"6:58","yes",1,10,"-LV 23","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"6:19","yes",2,10,"-LV 23","pass","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"5:36","yes",3,1,"-LV 14","run","JAX"
"raiders_at_jaguars_2022_reg_9","Jacksonville Jaguars",2,"4:56","yes",1,1,"-LV 1","run","JAX"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"4:50","no",1,10,"-LV 25","pass","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"4:06","no",2,1,"-LV 34","run","LV"
"raiders_at_jaguars_2022_reg_9","Las Vegas Raiders",2,"3:21","yes",1,10,"-LV 35","run","LV"
