"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 25","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"14:24","no",2,6,"-LV 29","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"13:42","yes",3,5,"-LV 30","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"13:14","no",1,10,"-LA 38","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"12:50","no",2,9,"-LA 37","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"12:46","yes",3,9,"-LA 37","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"12:09","no",1,10,"-LA 24","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"11:46","no",1,10,"-LA 18","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"11:04","yes",2,8,"-LA 16","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"10:29","no",3,5,"-LA 13","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"9:55","no",1,2,"-LA 2","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"9:17","no",2,1,"-LA 1","run","LV"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,"9:09","no",1,10,"-LA 32","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,"8:30","no",2,1,"-LA 41","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,"7:50","no",3,1,"-LA 41","run","LAR"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"7:03","no",1,10,"-LV 20","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"6:37","yes",1,10,"-LV 25","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"6:32","no",2,10,"-LV 25","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"5:53","no",1,10,"-LV 42","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"5:12","yes",2,7,"-LV 45","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"4:28","no",1,10,"-LA 40","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"3:44","no",2,6,"-LA 36","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",1,"3:06","yes",3,5,"-LA 35","run","LV"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,"2:17","no",1,10,"-LA 34","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,"1:34","no",1,10,"-LV 45","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,":56","no",2,4,"-LV 39","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",1,":16","yes",3,2,"-LV 37","pass","LAR"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"15:00","no",1,10,"-LV 31","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"14:21","yes",2,6,"-LV 35","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"13:40","no",1,10,"-LV 42","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"13:06","yes",1,10,"-LA 46","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"12:26","yes",2,5,"-LA 41","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"11:36","yes",1,10,"-LA 25","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"10:58","no",1,10,"-LA 14","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"10:15","no",2,4,"-LA 8","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"9:48","yes",3,9,"-LA 13","pass","LV"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"9:34","no",1,10,"-LA 22","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"8:54","no",2,4,"-LA 28","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"8:19","no",3,1,"-LA 31","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"7:41","no",1,10,"-LA 36","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"7:05","no",1,10,"-LV 42","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"6:21","no",2,11,"-LV 43","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"5:37","yes",3,13,"-LV 45","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"4:56","no",1,10,"-LV 23","run","LAR"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"4:45","yes",1,10,"-LV 17","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"4:10","no",2,2,"-LV 25","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"3:28","no",1,10,"-LV 27","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"2:47","no",2,2,"-LV 35","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"2:00","yes",1,10,"-LV 43","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"1:11","yes",1,10,"-LA 15","run","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,"1:04","yes",2,9,"-LA 14","pass","LV"
"raiders_at_rams_2022_reg_14","Las Vegas Raiders",2,":56","yes",3,5,"-LA 10","pass","LV"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,":49","yes",1,10,"-LA 20","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,":45","yes",2,10,"-LA 20","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,":41","no",3,10,"-LA 20","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"14:54","no",1,10,"-LA 18","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"14:51","yes",2,10,"-LA 18","run","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"14:08","yes",3,4,"-LA 24","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"12:38","yes",2,19,"-LA 20","pass","LAR"
"raiders_at_rams_2022_reg_14","Los Angeles Rams",2,"12:32","yes",3,19,"-LA 20","pass","LAR"
