"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 25","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"14:21","no",2,9,"-LV 26","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"13:36","yes",3,12,"-LV 23","pass","LV"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"13:20","yes",1,10,"-NO 33","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"12:47","no",2,4,"-NO 39","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"12:43","yes",3,4,"-NO 39","pass","NO"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"11:48","no",1,10,"-LV 16","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"11:08","no",2,4,"-LV 22","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"10:27","yes",3,7,"-LV 19","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"9:47","no",1,10,"-LV 32","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"9:41","no",2,10,"-LV 32","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"9:00","no",1,10,"-LV 48","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"8:53","yes",2,10,"-LV 48","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"8:32","yes",2,15,"-LV 43","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"8:27","yes",3,15,"-LV 43","pass","LV"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"8:15","yes",1,10,"-NO 16","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"7:41","no",2,5,"-NO 21","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"7:00","yes",3,6,"-NO 20","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"6:20","yes",1,10,"-NO 31","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"5:41","yes",2,2,"-NO 39","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"5:01","no",1,10,"-NO 46","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"4:19","yes",1,10,"-LV 24","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"3:38","yes",2,8,"-LV 22","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"2:56","yes",3,1,"-LV 15","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"2:13","yes",1,8,"-LV 8","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",1,"1:36","no",2,3,"-LV 3","run","NO"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,"1:27","yes",1,10,"-LV 25","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,":51","no",1,10,"-LV 37","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",1,":15","no",2,5,"-LV 42","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"15:00","no",3,1,"-LV 46","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"14:23","no",4,2,"-LV 45","run","LV"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"14:18","no",1,10,"-LV 27","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"13:40","yes",2,9,"-LV 26","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"13:34","yes",3,9,"-LV 26","pass","NO"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"12:38","no",1,10,"-LV 22","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"11:58","yes",2,9,"-LV 23","pass","LV"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"11:09","yes",1,10,"-LV 45","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"10:31","no",2,7,"-LV 42","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"9:54","yes",1,10,"-LV 35","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"9:16","no",1,10,"-LV 24","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"8:31","yes",2,5,"-LV 19","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"7:23","yes",1,15,"-LV 16","pass","NO"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"6:07","no",1,10,"-LV 30","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"5:28","no",2,6,"-LV 34","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"4:44","yes",3,4,"-LV 36","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"4:00","no",1,10,"-LV 45","run","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"3:22","yes",2,6,"-LV 49","pass","LV"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,"3:16","yes",3,6,"-LV 49","pass","LV"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"3:04","yes",1,10,"-NO 26","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"2:20","yes",2,9,"-NO 27","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"2:15","yes",3,9,"-NO 27","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"2:00","no",1,10,"-NO 41","run","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,"1:22","yes",2,5,"-NO 46","pass","NO"
"raiders_at_saints_2022_reg_8","New Orleans Saints",2,":58","yes",1,10,"-LV 45","pass","NO"
"raiders_at_saints_2022_reg_8","Las Vegas Raiders",2,":53","yes",2,10,"-LV 45","run","LV"
