"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"14:55","no",1,10,"-LV 20","pass","LV"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"14:45","yes",1,10,"-LV 12","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"14:39","yes",2,10,"-LV 12","run","SEA"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"14:32","no",1,10,"-LV 25","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"13:55","no",2,7,"-LV 28","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"13:50","yes",3,7,"-LV 28","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"13:13","no",1,10,"-LV 40","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"12:33","no",2,10,"-LV 40","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"11:57","no",1,10,"-SEA 49","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"11:18","no",2,4,"-SEA 43","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"10:19","no",1,10,"-SEA 23","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"9:37","yes",2,5,"-SEA 18","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"9:30","yes",3,5,"-SEA 18","pass","LV"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"9:19","yes",1,10,"-SEA 36","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"8:51","no",2,4,"-SEA 42","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"8:08","no",1,10,"-SEA 48","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"7:41","yes",2,13,"-SEA 45","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"6:44","no",1,10,"-LV 24","run","LV"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"5:55","yes",1,10,"-LV 35","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"5:19","no",1,10,"-LV 11","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"4:42","no",2,5,"-LV 6","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",1,"3:39","no",2,12,"-LV 22","run","LV"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"2:40","yes",1,10,"-SEA 37","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"2:07","no",2,5,"-SEA 42","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,"1:25","yes",3,4,"-SEA 43","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,":46","no",1,10,"-LV 33","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",1,":09","yes",1,10,"-LV 20","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",2,"15:00","yes",2,6,"-LV 16","run","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",2,"14:19","yes",3,9,"-LV 19","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",2,"13:59","yes",4,1,"-LV 11","pass","SEA"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"13:26","no",1,10,"-LV 39","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"12:53","no",2,1,"-LV 48","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"12:11","yes",1,10,"-SEA 48","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"11:32","no",2,7,"-SEA 45","run","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"10:52","yes",3,6,"-SEA 44","pass","LV"
"raiders_at_seahawks_2022_reg_12","Las Vegas Raiders",2,"10:12","no",1,10,"-SEA 36","pass","LV"
"raiders_at_seahawks_2022_reg_12","Seattle Seahawks",2,"10:02","yes",1,10,"-SEA 25","run","SEA"
