"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"14:57","no",1,10,"-LV 28","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"14:23","no",2,6,"-LV 32","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"13:42","no",1,10,"-LV 39","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"13:03","no",2,8,"-LV 41","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"12:27","no",1,10,"-PIT 49","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"11:47","yes",1,10,"-PIT 38","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"11:08","no",2,10,"-PIT 38","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"10:25","no",3,1,"-PIT 29","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"9:44","no",1,10,"-PIT 28","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"8:14","yes",3,16,"-PIT 34","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"7:30","no",1,10,"-PIT 17","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"7:26","yes",2,10,"-PIT 17","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"6:46","yes",3,7,"-PIT 14","pass","LV"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"6:38","yes",1,10,"-PIT 25","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"6:03","yes",2,11,"-PIT 24","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"5:28","yes",3,4,"-PIT 31","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"4:44","no",1,10,"-PIT 42","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"4:39","yes",2,10,"-PIT 42","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"4:30","yes",3,10,"-PIT 42","pass","PIT"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"3:40","no",1,10,"-LV 18","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"2:53","no",1,10,"-LV 29","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"2:15","no",2,13,"-LV 26","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",1,"1:34","yes",3,7,"-LV 32","pass","LV"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,"1:24","no",1,10,"-PIT 25","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,":45","no",1,10,"-PIT 39","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",1,":07","yes",2,8,"-PIT 41","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"15:00","no",1,10,"-LV 44","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"14:26","yes",2,10,"-LV 44","pass","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"13:52","yes",1,10,"-LV 31","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"13:07","yes",2,4,"-LV 25","run","PIT"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"12:29","no",3,2,"-LV 23","run","PIT"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",2,"11:48","no",1,10,"-LV 33","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",2,"11:10","no",1,10,"-LV 45","run","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",2,"10:31","yes",2,14,"-LV 41","pass","LV"
"raiders_at_steelers_2022_reg_16","Las Vegas Raiders",2,"10:27","yes",3,14,"-LV 41","run","LV"
"raiders_at_steelers_2022_reg_16","Pittsburgh Steelers",2,"9:39","yes",1,10,"-PIT 12","pass","PIT"
