"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"15:00","no",1,10,"-TEN 25","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"14:21","yes",2,13,"-TEN 22","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"13:33","yes",1,10,"-TEN 45","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"13:30","yes",2,10,"-TEN 45","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"12:47","yes",3,10,"-TEN 45","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"12:07","no",1,10,"-LV 44","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"11:28","no",2,1,"-LV 35","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"10:46","no",1,10,"-LV 25","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"10:11","no",2,2,"-LV 17","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"9:41","yes",2,12,"-LV 27","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"8:54","yes",1,10,"-LV 11","pass","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"8:10","yes",2,4,"-LV 5","run","TEN"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"7:25","yes",3,1,"-LV 2","pass","TEN"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"7:18","yes",1,10,"-LV 25","pass","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"6:40","no",2,7,"-LV 28","pass","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"6:33","no",1,10,"-TEN 36","run","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"5:53","yes",2,14,"-TEN 40","pass","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"5:10","yes",3,15,"-TEN 41","pass","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"4:24","no",1,10,"-TEN 21","run","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"3:47","no",1,10,"-TEN 11","run","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"3:02","yes",2,8,"-TEN 9","pass","LV"
"raiders_at_titans_2022_reg_3","Las Vegas Raiders",1,"2:26","no",3,2,"-TEN 3","pass","LV"
"raiders_at_titans_2022_reg_3","Tennessee Titans",1,"2:19","no",1,10,"-TEN 25","run","TEN"
