"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"14:30","yes",2,6,"-LA 29","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"13:58","no",1,10,"-LA 36","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"13:36","yes",2,9,"-LA 37","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"13:08","yes",3,1,"-LA 45","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"12:22","no",1,10,"-SF 45","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"11:54","yes",2,6,"-SF 41","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"11:17","no",1,10,"-SF 31","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"10:30","no",2,6,"-SF 27","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"10:05","yes",3,5,"-SF 26","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"9:01","yes",1,15,"-SF 24","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"7:36","yes",3,19,"-SF 28","run","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"6:48","yes",1,10,"-SF 25","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"6:13","yes",1,10,"-SF 40","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"5:37","yes",2,9,"-SF 41","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"5:35","yes",3,9,"-SF 41","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"4:57","no",1,10,"-LA 49","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"4:16","yes",2,12,"-SF 49","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"3:39","yes",3,5,"-LA 44","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"2:52","no",1,10,"-LA 32","run","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"2:46","no",1,10,"-LA 25","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",1,"2:25","yes",2,8,"-LA 27","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,"1:27","yes",1,10,"-SF 26","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",1,":46","no",1,10,"-SF 41","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"15:00","yes",2,9,"-SF 42","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"14:14","no",1,10,"-LA 47","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"13:35","yes",2,8,"-LA 45","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"12:54","yes",3,6,"-LA 43","pass","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"12:40","no",1,10,"-LA 20","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"12:36","yes",2,10,"-LA 20","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"12:05","yes",3,9,"-LA 21","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"11:51","no",1,10,"-SF 22","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"11:45","yes",2,10,"-SF 22","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"11:42","yes",3,10,"-SF 22","pass","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"11:30","no",1,10,"-LA 35","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"10:53","no",2,3,"-LA 42","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"9:57","no",1,10,"-LA 49","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"9:17","no",2,4,"-SF 45","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"8:32","no",1,10,"-SF 38","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"7:56","no",1,10,"-SF 20","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"7:17","no",1,9,"-SF 9","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"6:34","yes",2,11,"-SF 11","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"6:30","yes",3,11,"-SF 11","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"6:22","yes",1,10,"-SF 25","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"5:45","yes",2,5,"-SF 30","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"5:06","yes",3,2,"-SF 33","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"4:25","no",1,10,"-SF 36","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"3:44","yes",2,4,"-SF 42","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",2,"3:01","yes",3,3,"-SF 43","pass","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"2:41","yes",1,10,"-LA 21","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"2:36","yes",2,10,"-LA 21","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"2:00","yes",3,5,"-LA 26","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,"1:41","yes",1,10,"-LA 33","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,":31","yes",1,10,"-SF 31","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,":12","yes",2,4,"-SF 37","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,":08","yes",3,4,"-SF 37","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",2,":02","no",4,4,"-SF 37","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"15:00","no",1,10,"-SF 25","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"14:24","yes",2,9,"-SF 26","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"13:44","yes",1,10,"-SF 46","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"13:37","no",2,10,"-SF 46","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"12:54","yes",3,5,"-LA 49","pass","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"12:08","no",1,10,"-LA 18","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"11:29","yes",2,6,"-LA 22","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"10:41","yes",1,10,"-LA 34","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"9:39","yes",2,7,"-SF 47","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"8:56","no",1,10,"-SF 35","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"8:51","yes",2,10,"-SF 35","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"8:08","yes",3,3,"-SF 28","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"7:24","no",4,1,"-SF 26","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"6:14","yes",2,11,"-SF 23","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"6:09","no",1,10,"-SF 18","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"5:24","yes",2,13,"-SF 21","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"4:40","no",1,7,"-SF 7","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"4:37","yes",2,7,"-SF 7","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",3,"4:33","yes",3,7,"-SF 7","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"4:17","yes",1,10,"-SF 27","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"3:47","yes",1,10,"-LA 38","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"3:08","yes",2,5,"-LA 33","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"2:23","no",1,10,"-LA 25","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,"1:42","no",2,2,"-LA 17","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,":57","yes",1,8,"-LA 8","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",3,":11","no",2,1,"-LA 1","run","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",4,"14:47","yes",1,10,"-LA 21","run","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",4,"14:06","yes",2,12,"-LA 19","pass","LAR"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",4,"13:37","yes",3,10,"-LA 21","pass","LAR"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"13:19","yes",1,10,"-SF 45","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"12:37","no",2,7,"-SF 48","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"12:10","yes",2,17,"-SF 38","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"11:27","yes",3,13,"-SF 42","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"10:12","no",1,10,"-LA 29","run","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"9:28","yes",2,11,"-LA 30","pass","SF"
"rams_at_49ers_2022_reg_4","San Francisco 49ers",4,"9:24","yes",3,11,"-LA 30","pass","SF"
"rams_at_49ers_2022_reg_4","Los Angeles Rams",4,"8:38","yes",1,10,"-LA 33","run","LAR"
