"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"14:55","yes",1,10,"-LA 27","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"14:50","no",2,10,"-LA 27","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"14:06","yes",3,5,"-LA 32","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"13:51","no",1,10,"-TB 44","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"13:20","yes",2,7,"-TB 47","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"12:43","no",1,10,"-LA 43","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"12:27","no",1,20,"-TB 47","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"11:43","yes",2,14,"-LA 47","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"10:59","no",1,10,"-LA 28","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"10:26","yes",2,8,"-LA 26","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"9:52","yes",3,6,"-LA 24","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"9:11","no",1,10,"-LA 11","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"8:25","no",2,9,"-LA 10","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"8:07","no",3,2,"-LA 3","run","TB"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"7:16","no",1,10,"-LA 25","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"7:10","yes",2,10,"-LA 25","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"5:55","yes",3,3,"-LA 32","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"5:34","yes",1,10,"-LA 36","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"4:46","yes",3,19,"-LA 27","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"4:02","no",1,10,"-TB 18","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"3:18","yes",2,5,"-TB 23","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"2:53","yes",2,15,"-TB 13","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",1,"2:14","yes",3,5,"-TB 23","pass","TB"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"2:00","no",1,10,"-LA 9","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,"1:18","yes",2,9,"-LA 10","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,":20","yes",1,10,"-LA 20","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",1,":15","yes",2,10,"-LA 20","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"15:00","no",2,5,"-LA 25","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"14:15","yes",3,3,"-LA 27","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"13:29","no",1,10,"-LA 32","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"13:08","yes",2,11,"-LA 31","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"12:50","no",1,10,"-TB 25","run","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"12:08","no",2,6,"-TB 29","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"12:05","yes",3,6,"-TB 29","pass","TB"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"11:14","no",1,10,"-LA 19","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"11:07","yes",2,10,"-LA 19","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"10:26","yes",3,6,"-LA 23","pass","LAR"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"10:14","no",1,10,"-TB 35","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"10:09","yes",2,10,"-TB 35","pass","TB"
"rams_at_buccaneers_2022_reg_9","Tampa Bay Buccaneers",2,"10:06","yes",3,10,"-TB 35","pass","TB"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"9:21","no",1,10,"-LA 11","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"8:39","yes",2,6,"-LA 15","run","LAR"
"rams_at_buccaneers_2022_reg_9","Los Angeles Rams",2,"7:55","yes",3,3,"-LA 18","pass","LAR"
