"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"15:00","no",1,10,"-ARZ 25","pass","ARI"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"14:28","yes",2,4,"-ARZ 31","run","ARI"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"13:46","yes",3,2,"-ARZ 33","pass","ARI"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"13:34","no",1,10,"-ARZ 35","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"13:04","yes",1,20,"-ARZ 45","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"12:21","yes",2,11,"-ARZ 36","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"11:39","no",1,10,"-ARZ 20","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"11:00","no",2,4,"-ARZ 14","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"10:20","yes",1,4,"-ARZ 4","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"9:56","no",2,4,"-ARZ 4","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"9:54","yes",3,4,"-ARZ 4","pass","LAR"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"9:45","yes",1,10,"-ARZ 25","run","ARI"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"9:12","yes",2,8,"-ARZ 27","pass","ARI"
"rams_at_cardinals_2022_reg_3","Arizona Cardinals",1,"9:09","yes",3,8,"-ARZ 27","pass","ARI"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"8:50","no",1,10,"-LA 42","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"8:22","yes",2,11,"-LA 41","pass","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"6:23","no",1,10,"-ARZ 31","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"5:34","yes",2,10,"-ARZ 31","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"4:53","yes",3,3,"-ARZ 24","run","LAR"
"rams_at_cardinals_2022_reg_3","Los Angeles Rams",1,"4:06","no",1,10,"-ARZ 20","run","LAR"
