"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"14:18","no",2,2,"-LA 33","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"13:42","yes",1,10,"-LA 41","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"13:36","yes",2,10,"-LA 41","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"12:13","no",1,10,"-LAC 24","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"11:39","yes",2,4,"-LAC 30","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"11:04","yes",1,10,"-LAC 38","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"10:29","yes",2,2,"-LAC 46","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"9:52","no",3,1,"-LAC 47","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"9:32","yes",3,10,"-LAC 38","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"9:19","no",1,10,"-LA 14","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"8:41","no",2,8,"-LA 16","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"7:57","yes",3,5,"-LA 19","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"7:10","no",1,10,"-LA 25","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"6:26","yes",2,6,"-LA 29","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"5:44","no",1,10,"-LA 36","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"4:53","no",1,10,"-LAC 22","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"4:10","yes",2,10,"-LAC 22","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"3:29","no",3,4,"-LAC 16","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"2:45","no",1,10,"-LAC 10","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"2:00","no",2,4,"-LAC 4","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",1,"1:16","yes",3,5,"-LAC 5","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,"1:09","yes",1,10,"-LAC 25","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",1,":32","yes",1,10,"-LA 49","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"15:00","no",1,10,"-LA 37","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"14:27","no",2,2,"-LA 29","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"13:47","yes",1,10,"-LA 10","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",2,"13:40","no",1,10,"-LA 25","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",2,"12:56","no",2,7,"-LA 28","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",2,"12:05","no",1,10,"-LAC 33","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",2,"11:21","no",2,4,"-LAC 27","run","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Rams",2,"10:38","yes",3,6,"-LAC 29","pass","LAR"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"10:20","no",1,10,"-LAC 10","run","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"10:03","no",2,7,"-LAC 13","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"9:58","yes",3,7,"-LAC 13","pass","LAC"
"rams_at_chargers_2022_reg_17","Los Angeles Chargers",2,"9:14","yes",1,10,"-LAC 23","pass","LAC"
